gene,baseMean,log2FoldChange,lfcSE,pvalue,padj
4933401J01Rik,0,NA,NA,NA,NA
Gm26206,1.17404438079522,-0.00446500039006091,0.0859458132328805,0.17843346452125,NA
Xkr4,78395.804833447,0.0370732685633395,0.0711577190321937,0.35172733798498,0.802754630987856
Gm18956,39.4180161208835,0.000728544290500219,0.083522709522706,0.971360268090043,0.994907477946722
Gm37180,1446.1998130377,0.0961347079344424,0.105419009555,0.0916439167283576,0.538283259866569
Gm37363,813.920110870553,0.0192970543459788,0.0754793891939631,0.618324239114589,0.910830112109965
Gm37686,401.850559666573,-0.0246736742332771,0.07849814072708,0.512009857060734,0.874417257588254
Gm1992,4539.80622761833,-0.0420054619318738,0.0856850437024588,0.301623461620847,0.77316681415286
Gm37329,375.888005835328,0.0508603676423972,0.0873470956988827,0.234198383066379,0.727054533551441
Gm7341,4.92832876067669,-0.00393878006173229,0.0855464766973647,0.63771876128558,NA
Gm38148,1080.20351420241,-0.00745220117113558,0.0738777934631167,0.843343367747613,0.969802381076081
Gm19938,3605.18396966074,-0.00309031877002518,0.066732901087183,0.907702815325023,0.984325575781346
Gm10568,12.2052094861701,0.00982597529436033,0.0857904877495153,0.420950874322363,NA
Gm38385,0.133546639853798,0.000808875599788716,0.0858266800852133,0.909262186897497,NA
Gm27396,0,NA,NA,NA,NA
Gm37381,21.9241079996067,-0.00243140748265446,0.0842250767152902,0.880412543220169,NA
Rp1,145.198991810185,-0.0267462933979478,0.083189735455323,0.418152488616562,0.840192174198936
Gm6101,0,NA,NA,NA,NA
Gm37483,0,NA,NA,NA,NA
Sox17,2.18886518671419,0.00654586542377708,0.0860726664845569,0.178825330076459,NA
Gm37587,0.309073601504747,-0.000230876638871611,0.0858093355969917,0.89137433807883,NA
Gm7357,0.52578089520636,0.000144652770638537,0.0857983916556065,0.908120165089692,NA
Gm22307,2.10217404819075,-0.00290319428703624,0.0857170458325396,0.608348032092666,NA
Gm38076,0,NA,NA,NA,NA
Gm37323,1.74833820137813,-0.00373915477253517,0.0858489871286268,0.375211868527053,NA
Gm7369,1.73791894189944,0.00297077005950781,0.0857672772809151,0.544630057557718,NA
