gene,baseMean,log2FoldChange,lfcSE,pvalue,padj
4933401J01Rik,0,NA,NA,NA,NA
Gm26206,0,NA,NA,NA,NA
Xkr4,120.342037890105,-1.55040845308313e-06,0.00144268660324902,0.538327694480319,0.999539361996474
Gm18956,0,NA,NA,NA,NA
Gm37180,2.03930430385133,3.07395021020796e-08,0.00144269429496747,0.964422253638136,0.999539361996474
Gm37363,0.860963224408317,-6.40731235241808e-07,0.00144269494752039,0.126858407716657,0.999539361996474
Gm37686,0.762695750447573,8.7977631453087e-08,0.00144269477539371,0.841632864863128,0.999539361996474
Gm1992,6.22494596991036,-4.30976466438434e-07,0.00144269334128423,0.699207797772764,0.999539361996474
Gm37329,0.646939686338996,2.19475484412364e-07,0.00144269484437765,0.616500016150051,0.999539361996474
Gm7341,0.302642758922066,-1.79926971319348e-07,0.00144269500953653,0.618077577018417,0.999539361996474
Gm38148,1.17490584594034,3.63250083472603e-08,0.00144269458227497,0.94964293005232,0.999539361996474
Gm19938,8.45047325119036,-1.72101083997584e-07,0.00144269213994313,0.903424916282727,0.999539361996474
Gm10568,0,NA,NA,NA,NA
Gm38385,0,NA,NA,NA,NA
Gm27396,0,NA,NA,NA,NA
Gm37381,0,NA,NA,NA,NA
Rp1,0.321907125034779,-4.74933234910872e-08,0.00144269493395255,0.923012604723367,0.999539361996474
Gm6101,0,NA,NA,NA,NA
Gm37483,0,NA,NA,NA,NA
Sox17,0,NA,NA,NA,NA
Gm37587,0,NA,NA,NA,NA
Gm7357,0,NA,NA,NA,NA
Gm22307,0,NA,NA,NA,NA
Gm38076,0,NA,NA,NA,NA
Gm37323,0,NA,NA,NA,NA
Gm7369,0,NA,NA,NA,NA
Gm6085,0,NA,NA,NA,NA
Gm6119,0,NA,NA,NA,NA
Gm56275,0,NA,NA,NA,NA
Gm2053,0,NA,NA,NA,NA
Gm6123,0,NA,NA,NA,NA
Mrpl15,9.95380274480781,-1.40435427896255e-06,0.00144269179308544,0.382927571512199,0.999539361996474
Gm37144,0.338646996111951,6.69600915711956e-09,0.00144269492829539,0.921643893239489,0.999539361996474
ENSMUSG00000120403,2.88743250767858,-8.80529969258441e-07,0.00144269410310949,0.318470713773172,0.999539361996474
Lypla1,6.62866738344845,-4.68985759671672e-07,0.00144269245863553,0.731529194329923,0.999539361996474
Gm37988,2.80166924576081,2.15239009715648e-07,0.00144269406634462,0.801095449939549,0.999539361996474
Tcea1,25.080610461664,-7.14516439795224e-07,0.00144268658544601,0.771809863120686,0.999539361996474
Gm6104,0,NA,NA,NA,NA
Gm37277,0,NA,NA,NA,NA
Rgs20,16.3883197697808,1.31561647193518e-06,0.00144269008307848,0.501430129682326,0.999539361996474
Gm17100,0,NA,NA,NA,NA
Gm37079,0.151321379461033,-1.39129567823949e-07,0.00144269500400511,0.749716448915865,0.999539361996474
Gm16041,0.120967073576127,1.52877988741406e-07,0.00144269500036655,0.878878358596202,0.999539361996474
Gm17101,0,NA,NA,NA,NA
Atp6v1h,59.7088782394893,6.91940144735379e-07,0.00144268058738727,0.832538264252252,0.999539361996474
Gm7182,0,NA,NA,NA,NA
Gm37567,0.120967073576127,1.52877988741406e-07,0.00144269500036655,0.878878358596202,0.999539361996474
Gm38264,0,NA,NA,NA,NA
Oprk1,0.388265668109569,-1.66305032099288e-08,0.00144269491839678,0.917828938401067,0.999539361996474
Gm36965,0,NA,NA,NA,NA
Gm56304,0,NA,NA,NA,NA
Gm37429,0,NA,NA,NA,NA
Npbwr1,0,NA,NA,NA,NA
Gm19214,0,NA,NA,NA,NA
4732440D04Rik,22.2413823537122,-6.36682128633211e-07,0.00144268755838545,0.783095969404833,0.999539361996474
Rb1cc1,103.592805564591,-9.66858545971993e-07,0.00144267359038413,0.805086158119301,0.999539361996474
Alkal1,0,NA,NA,NA,NA
Gm2147,0,NA,NA,NA,NA
Gm7417,0,NA,NA,NA,NA
Gm19026,0.200940051458651,-1.47865488207486e-07,0.00144269500622284,0.749716448915865,0.999539361996474
St18,14.3643263180478,-6.67299096455827e-07,0.00144269465617522,0.269874310364214,0.999539361996474
Gm42492,0,NA,NA,NA,NA
Gm7449,0,NA,NA,NA,NA
Gm37108,0.429259763803172,2.71823560913379e-07,0.00144269497781308,0.502675927678598,0.999539361996474
Gm37275,0,NA,NA,NA,NA
Gm37225,0,NA,NA,NA,NA
Gm37489,0,NA,NA,NA,NA
Gm5694,0,NA,NA,NA,NA
ENSMUSG00000120372,0.34242272200386,-4.18733293898985e-08,0.00144269492884813,0.921306430638613,0.999539361996474
Pcmtd1,110.541023024397,-2.12657019876546e-07,0.00144267095210148,0.957895710803818,0.999539361996474
Gm26983,0.327026108142693,-4.97622870103595e-08,0.00144269493303588,0.92257930601449,0.999539361996474
Gm38372,6.83231341636905,-2.95930937615134e-07,0.00144269276986102,0.815223167213455,0.999539361996474
Gm9826,0,NA,NA,NA,NA
Nras-ps2,0,NA,NA,NA,NA
Gm23274,0,NA,NA,NA,NA
Gm19002,0,NA,NA,NA,NA
Gm26901,5.22087289062608,3.89518394275055e-07,0.00144269335851881,0.728082352245262,0.999539361996474
Gm18984,0,NA,NA,NA,NA
Gm30414,0,NA,NA,NA,NA
Gm37791,0,NA,NA,NA,NA
Gm7470,0,NA,NA,NA,NA
Rps2-ps2,0,NA,NA,NA,NA
Gm38216,0,NA,NA,NA,NA
Sntg1,110.615803809238,-3.21883048732266e-06,0.00144268825317065,0.197402757733481,0.999539361996474
Gm38024,0.308292690227045,1.69718161604063e-07,0.00144269498849843,0.654744436989253,0.999539361996474
Gm16284,0,NA,NA,NA,NA
Gm38259,0,NA,NA,NA,NA
Gm54704,0,NA,NA,NA,NA
Gm37005,0.151321379461033,-1.39129567823949e-07,0.00144269500400511,0.749716448915865,0.999539361996474
Gm15452,0,NA,NA,NA,NA
Gm36964,0,NA,NA,NA,NA
Gm54706,0,NA,NA,NA,NA
Gm6152,0,NA,NA,NA,NA
Gm7445,0,NA,NA,NA,NA
Gm7493,0,NA,NA,NA,NA
Gm37629,3.29253007322495,-5.39105120260203e-07,0.00144269391904099,0.547419683719989,0.999539361996474
Gm38008,0,NA,NA,NA,NA
Gm37143,0,NA,NA,NA,NA
Gm6187,0,NA,NA,NA,NA
Gm18299,0,NA,NA,NA,NA
Gm7512,0,NA,NA,NA,NA
Gm24765,0,NA,NA,NA,NA
Gm18300,0.327026108142693,-4.97622870103595e-08,0.00144269493303588,0.92257930601449,0.999539361996474
Rrs1,1.55333280513408,2.47709547539149e-07,0.00144269449668574,0.693398478557491,0.999539361996474
Adhfe1,21.8723078772442,6.81680687522071e-07,0.00144268965477291,0.733307147669361,0.999539361996474
2610203C22Rik,174.877017118403,3.09989766590868e-06,0.00144267050889728,0.477030948733953,0.999539361996474
Gm6161,0.136363687437295,1.17990404619335e-07,0.00144269499897955,0.878878358596202,0.999539361996474
Vxn,36.2982200972359,-1.87998952570154e-06,0.00144268558715698,0.589746412023619,0.999539361996474
Gm29520,0,NA,NA,NA,NA
Mybl1,1.1974149897479,-2.83745082143308e-07,0.00144269465008959,0.602427950960311,0.999539361996474
Vcpip1,35.8938228183323,-9.52179712271669e-07,0.0014426848670584,0.725374877902388,0.999539361996474
1700034P13Rik,9.94871976281031,-5.70228273444708e-07,0.00144269211784045,0.6950009006363,0.999539361996474
Sgk3,97.1417838455366,2.89863149605571e-06,0.00144268315336538,0.351557668886817,0.999539361996474
Gm6195,0,NA,NA,NA,NA
Gm54812,0,NA,NA,NA,NA
Snhg6,33.6777531196431,9.61574159957123e-07,0.00144268566472257,0.715446642914986,0.999539361996474
Mcmdc2,4.33400639839224,-1.19122605489882e-06,0.00144269370832316,0.268930691606971,0.999539361996474
Snord87,0,NA,NA,NA,NA
Tcf24,0.51435172479361,7.53060310727089e-08,0.00144269486174424,0.827292972720102,0.999539361996474
E330040D14Rik,0.206059034566566,-1.4860402477797e-07,0.00144269500644227,0.749716448915865,0.999539361996474
Ppp1r42,0.650715412230905,1.9532732268999e-07,0.00144269480564716,0.628958207167203,0.999539361996474
Gm15818,1.69000628980461,7.0649156005504e-07,0.0014426945366507,0.282842410644063,0.999539361996474
ENSMUSG00000121270,0,NA,NA,NA,NA
Gm24674,0,NA,NA,NA,NA
Cops5,27.8495954728799,3.94165488386066e-07,0.00144268697871897,0.872322255784703,0.999539361996474
Cspp1,100.928938521062,1.12893546078787e-07,0.00144267445492583,0.978292009482016,0.999539361996474
1700047N06Rik,0,NA,NA,NA,NA
Arfgef1,105.271484794891,3.93507865115222e-07,0.00144267341475501,0.922246544766242,0.999539361996474
Gm54899,0,NA,NA,NA,NA
Gm37569,3.51163067112012,8.38760147028582e-07,0.00144269379405856,0.403650695539021,0.999539361996474
Cpa6,3.72614549284908,3.30085482016467e-07,0.00144269376039724,0.735487444475679,0.999539361996474
Gm38005,0,NA,NA,NA,NA
Gm15604,0.151321379461033,-1.39129567823949e-07,0.00144269500400511,0.749716448915865,0.999539361996474
Gm25253,0,NA,NA,NA,NA
Gm15603,0,NA,NA,NA,NA
Gm37133,0,NA,NA,NA,NA
Gm5522,0,NA,NA,NA,NA
Gm28659,0,NA,NA,NA,NA
Gm54912,0,NA,NA,NA,NA
Prex2,6.36105416664427,1.27599717398206e-06,0.0014426929485213,0.33304326600489,0.999539361996474
Gm24173,0,NA,NA,NA,NA
Gm28686,0,NA,NA,NA,NA
Gm37410,0,NA,NA,NA,NA
A830018L16Rik,74.7876221212226,-1.34826951466767e-06,0.00144268243686681,0.657676875682605,0.999539361996474
Gm38178,2.09724963840715,-1.73173823545037e-07,0.00144269429722322,0.814143535172101,0.999539361996474
Gm29273,0,NA,NA,NA,NA
Gm38069,1.3676602429324,5.45044593390592e-07,0.00144269457553727,0.39404094407748,0.999539361996474
Gm7560,0,NA,NA,NA,NA
Gm22633,0,NA,NA,NA,NA
Mir6341,0,NA,NA,NA,NA
Gm2383,0,NA,NA,NA,NA
Gm6216,0,NA,NA,NA,NA
Gm17644,0,NA,NA,NA,NA
Gm29663,0,NA,NA,NA,NA
Sulf1,8.21089698535686,-1.65855114991251e-06,0.0014426935146949,0.173937670488823,0.999539361996474
Slco5a1,0.832391097576844,-1.62895014162829e-07,0.00144269473577875,0.7304087993693,0.999539361996474
Gm37162,0,NA,NA,NA,NA
Gm5250,0,NA,NA,NA,NA
Gm29283,0,NA,NA,NA,NA
Prdm14,0,NA,NA,NA,NA
Ncoa2,184.993208776307,4.02724368611484e-06,0.00144266875513324,0.618613664456606,0.999539361996474
Gm38376,2.48461097113814,-2.07050194435657e-08,0.0014426940057159,0.979531526234716,0.999539361996474
Gm37409,0.882009769574462,-2.07797705530886e-07,0.0014426946993451,0.677324727295038,0.999539361996474
Gm55160,0,NA,NA,NA,NA
Gm38223,1.02171026106624,-4.05661293118218e-07,0.00144269467825248,0.45385856541903,0.999539361996474
Gm37702,0.986236972073417,-1.43458337148957e-07,0.00144269468157461,0.779738307409838,0.999539361996474
Gm23169,0,NA,NA,NA,NA
Gm38120,7.76787878943214,-3.43784459871586e-07,0.00144269204185506,0.814472194297728,0.999539361996474
Gm38380,6.21030565866237,-4.04543904095477e-07,0.00144269269933538,0.7544679173403,0.999539361996474
Gm29570,0.594634499909368,1.50838173140808e-07,0.00144269483959164,0.692348875619434,0.999539361996474
Gm7593,0,NA,NA,NA,NA
