gene,baseMean,log2FoldChange,lfcSE,pvalue,padj
4933401J01Rik,0,NA,NA,NA,NA
Gm26206,0,NA,NA,NA,NA
Xkr4,772.481849763036,0.00045215997144183,0.0121392872073753,0.953547854366814,0.998700102040795
Gm18956,0.789162525329629,1.07289640466022e-05,0.0122051996865557,0.875299135920789,NA
Gm37180,11.8834779142138,0.000144834903628691,0.0122035854844813,0.596310614256278,NA
Gm37363,8.81062424309991,-9.98602743101904e-05,0.0122035693535998,0.677587929091271,NA
Gm37686,2.59620500898499,-2.34021051382199e-05,0.0122047981457129,0.847667020913768,NA
Gm1992,46.3240984256422,8.55259592633523e-05,0.0121959347324679,0.861954712271675,NA
Gm37329,4.13451605017165,-8.72417210690696e-05,0.0122047023434092,0.597940174946198,NA
Gm7341,0,NA,NA,NA,NA
Gm38148,9.15997678681799,2.722452007675e-05,0.0122029896342654,0.912654786971905,NA
Gm19938,33.4222673058679,0.00019924639230159,0.0121990356213759,0.66585409125931,NA
Gm10568,0,NA,NA,NA,NA
Gm38385,0,NA,NA,NA,NA
Gm27396,0,NA,NA,NA,NA
Gm37381,0.175347940418662,1.79275948285475e-05,0.0122053770839449,0.887229073134626,NA
Rp1,1.71105816598761,-5.36575982409193e-07,0.0122049737159335,0.994694809759878,NA
Gm6101,0,NA,NA,NA,NA
Gm37483,0,NA,NA,NA,NA
Sox17,0,NA,NA,NA,NA
Gm37587,0,NA,NA,NA,NA
Gm7357,0,NA,NA,NA,NA
Gm22307,0,NA,NA,NA,NA
Gm38076,0,NA,NA,NA,NA
Gm37323,0,NA,NA,NA,NA
Gm7369,0,NA,NA,NA,NA
Gm6085,0.175347940418662,1.79275948285475e-05,0.0122053770839449,0.887229073134626,NA
Gm6119,0,NA,NA,NA,NA
Gm56275,0,NA,NA,NA,NA
Gm2053,0,NA,NA,NA,NA
Gm6123,0,NA,NA,NA,NA
Mrpl15,18.2960880820046,0.000202825293661016,0.0122038211109694,0.517462659223127,NA
Gm37144,0.667754954700187,-1.52126148005661e-05,0.0122052197759289,0.81742850071228,NA
ENSMUSG00000120403,3.10505484152202,6.02021907370643e-06,0.0122045482293555,0.967640595587426,NA
Lypla1,10.097651244483,-0.000336149452969688,0.0122096145440636,0.183312919462717,NA
Gm37988,2.90898632467455,-7.63409570807849e-05,0.0122049885045478,0.567970945152739,NA
Tcea1,43.3660288935698,-0.000277402050656402,0.0121992545841802,0.58491446520847,NA
Gm6104,0,NA,NA,NA,NA
Gm37277,0,NA,NA,NA,NA
Rgs20,149.757703538482,0.00129745786687828,0.0122738409689517,0.0940804374054065,0.997328891383931
Gm17100,0.166508527822516,-2.03500975357183e-05,0.0122053850744442,0.741707331349215,NA
Gm37079,1.85755569117164,-2.26225525077841e-05,0.0122049314261137,0.833942231312602,NA
Gm16041,1.36914671637484,6.52906803546366e-05,0.0122053244799876,0.455404933450371,NA
Gm17101,0.139618951393017,1.68156939782646e-05,0.0122053742754083,0.887229073134626,NA
Atp6v1h,100.839255306124,0.000526647286348176,0.0122000996869162,0.471309430463708,0.997328891383931
Gm7182,0,NA,NA,NA,NA
Gm37567,0,NA,NA,NA,NA
Gm38264,0,NA,NA,NA,NA
Oprk1,0.378125275111759,-8.80201582252688e-06,0.0122053044672472,0.899907584361034,NA
Gm36965,0,NA,NA,NA,NA
Gm56304,0,NA,NA,NA,NA
Gm37429,0,NA,NA,NA,NA
Npbwr1,0.175347940418662,1.79275948285475e-05,0.0122053770839449,0.887229073134626,NA
Gm19214,0,NA,NA,NA,NA
4732440D04Rik,23.8363045922312,0.00010692064176455,0.0121997794337168,0.784804498320082,NA
Rb1cc1,138.894833279348,0.00031118880743764,0.0121811106401111,0.698106204476836,0.997328891383931
Alkal1,0.166508527822516,-2.03500975357183e-05,0.0122053850744442,0.741707331349215,NA
Gm2147,0,NA,NA,NA,NA
Gm7417,0,NA,NA,NA,NA
Gm19026,0.62342654847341,-4.73133896362172e-05,0.0122053788180643,0.464536969078858,NA
St18,3.84157475026752,-0.000318088994318809,0.0122106703723243,0.0344307176612509,NA
Gm42492,0,NA,NA,NA,NA
Gm7449,0,NA,NA,NA,NA
Gm37108,1.07354961948139,-6.30916176344876e-05,0.0122053754995476,0.423723956122581,NA
Gm37275,0,NA,NA,NA,NA
Gm37225,0,NA,NA,NA,NA
Gm37489,0,NA,NA,NA,NA
Gm5694,0.26196028991898,2.85772281353031e-05,0.0122053937928384,0.689511978836249,NA
ENSMUSG00000120372,0.509144809303645,-2.30112822955715e-05,0.0122052919384186,0.650629387471966,NA
Pcmtd1,142.8524576883,0.000187097050897394,0.0121774378557964,0.826592935416583,0.997328891383931
Gm26983,1.04456059872706,-1.31921841627532e-05,0.0122051380170237,0.865979574116752,NA
Gm38372,7.17328471641864,-2.6648265009368e-05,0.0122035615588077,0.897773572384351,NA
Gm9826,0,NA,NA,NA,NA
Nras-ps2,0,NA,NA,NA,NA
Gm23274,0,NA,NA,NA,NA
Gm19002,0,NA,NA,NA,NA
Gm26901,18.1688122494728,0.000252898855155231,0.0122049823880727,0.432990272463181,NA
Gm18984,0.122341338525962,1.62215005911935e-05,0.0122053729164474,0.887229073134626,NA
Gm30414,0,NA,NA,NA,NA
Gm37791,0,NA,NA,NA,NA
Gm7470,0,NA,NA,NA,NA
Rps2-ps2,0,NA,NA,NA,NA
Gm38216,0,NA,NA,NA,NA
Sntg1,1639.71922053174,-0.000930654611826873,0.0121474421562767,0.562343843652964,0.997328891383931
Gm38024,2.24545414677607,-1.22650638975765e-06,0.012204756622235,0.990735936739626,NA
Gm16284,0,NA,NA,NA,NA
Gm38259,2.16579070157523,-3.84968872750806e-05,0.0122048893414613,0.746331066025727,NA
Gm54704,0,NA,NA,NA,NA
Gm37005,2.4985750240989,-9.42713136989893e-06,0.0122047429045749,0.938559180654805,NA
Gm15452,0,NA,NA,NA,NA
Gm36964,0,NA,NA,NA,NA
Gm54706,0,NA,NA,NA,NA
Gm6152,0.139618951393017,1.68156939782646e-05,0.0122053742754083,0.887229073134626,NA
Gm7445,0.175347940418662,1.79275948285475e-05,0.0122053770839449,0.887229073134626,NA
Gm7493,0.26196028991898,2.85772281353031e-05,0.0122053937928384,0.689511978836249,NA
Gm37629,44.4532312563992,1.26465167042956e-05,0.0121950203030152,0.976109981642008,NA
Gm38008,1.17230573961991,0.000136006708581818,0.0122063174643684,0.0621738195523487,NA
Gm37143,5.49124187592773,4.81666931384392e-05,0.0122042044997732,0.788852895319893,NA
Gm6187,0,NA,NA,NA,NA
Gm18299,0,NA,NA,NA,NA
Gm7512,0,NA,NA,NA,NA
Gm24765,0,NA,NA,NA,NA
Gm18300,0.279237902786035,2.620880567989e-05,0.0122053924326837,0.691149296664074,NA
Rrs1,7.62252982549127,-0.000163803882855177,0.0122052212631531,0.43029730245636,NA
Adhfe1,8.19900249658471,8.00121348360347e-05,0.0122036349997847,0.726688910138356,NA
2610203C22Rik,55.2996957043684,-0.00112644345888465,0.012269510803061,0.0452496727588236,0.989073131939611
Gm6161,0,NA,NA,NA,NA
Vxn,252.929022318876,-0.000717149430512805,0.0121845398045443,0.473745140477886,0.997328891383931
Gm29520,0,NA,NA,NA,NA
Mybl1,26.3893954151053,-0.000183669426581103,0.012200533400142,0.651329084358729,NA
Vcpip1,37.9853801847883,-8.20061159328933e-05,0.0121959162631089,0.864896348633443,NA
1700034P13Rik,8.0273920901763,-0.00016813994323839,0.0122055063030553,0.394083327062666,NA
Sgk3,95.7831358200738,-0.000100533606761293,0.0121836087254166,0.889583710824278,0.998299374455073
Gm6195,0,NA,NA,NA,NA
Gm54812,0,NA,NA,NA,NA
Snhg6,46.7239871462102,-0.000515225511065873,0.0122121438837655,0.274868925878548,NA
Mcmdc2,7.43492992580966,2.14584992680083e-05,0.0122033590978443,0.924975665188841,NA
Snord87,0,NA,NA,NA,NA
Tcf24,0.333017055645033,-3.40714533210586e-05,0.0122054192403735,0.531843689399098,NA
E330040D14Rik,0,NA,NA,NA,NA
Ppp1r42,1.96027988605186,-8.47669574669037e-05,0.0122053510163306,0.423507334334855,NA
Gm15818,4.12127488948865,0.000205637920859341,0.0122070281701061,0.172388691263201,NA
ENSMUSG00000121270,0,NA,NA,NA,NA
Gm24674,0,NA,NA,NA,NA
Cops5,36.5487757674618,0.000169020286940263,0.0121978206335081,0.72259625362456,NA
Cspp1,157.934150786464,0.000295252615033928,0.0121757178248559,0.747563604212786,0.997328891383931
1700047N06Rik,0,NA,NA,NA,NA
Arfgef1,141.066573303609,0.000752979473660748,0.0122081085465932,0.388125094527297,0.997328891383931
Gm54899,0.122341338525962,1.62215005911935e-05,0.0122053729164474,0.887229073134626,NA
Gm37569,4.4877053253854,-5.18648560946257e-05,0.0122043829074818,0.754688325829519,NA
Cpa6,2.94799706033173,-9.15452275033552e-05,0.0122050736254409,0.515223547241866,NA
Gm38005,0,NA,NA,NA,NA
Gm15604,0,NA,NA,NA,NA
Gm25253,0,NA,NA,NA,NA
Gm15603,0,NA,NA,NA,NA
Gm37133,0,NA,NA,NA,NA
Gm5522,0,NA,NA,NA,NA
Gm28659,0,NA,NA,NA,NA
Gm54912,0,NA,NA,NA,NA
Prex2,24.6303551151464,0.000176421268568299,0.012201237266735,0.645575918749269,NA
Gm24173,0,NA,NA,NA,NA
Gm28686,0,NA,NA,NA,NA
Gm37410,0.167288341062466,-2.03699492061862e-05,0.0122053851410901,0.741707331349215,NA
A830018L16Rik,15.0011463861481,0.000223475246558285,0.0122047882085461,0.450139929341063,NA
Gm38178,0.175347940418662,1.79275948285475e-05,0.0122053770839449,0.887229073134626,NA
Gm29273,0,NA,NA,NA,NA
Gm38069,0.166508527822516,-2.03500975357183e-05,0.0122053850744442,0.741707331349215,NA
Gm7560,0,NA,NA,NA,NA
Gm22633,0.289629679588428,-5.293108935579e-06,0.0122053134728495,0.908585105976811,NA
Mir6341,0,NA,NA,NA,NA
Gm2383,0,NA,NA,NA,NA
Gm6216,0,NA,NA,NA,NA
Gm17644,0,NA,NA,NA,NA
Gm29663,0,NA,NA,NA,NA
Sulf1,87.801650280677,0.00107972573369866,0.0122588034829141,0.0967640185717372,0.997328891383931
Slco5a1,9.56242782241552,-0.000101991210576559,0.0122035296654227,0.674891012823647,NA
Gm37162,0,NA,NA,NA,NA
Gm5250,0,NA,NA,NA,NA
Gm29283,0,NA,NA,NA,NA
Prdm14,0,NA,NA,NA,NA
Ncoa2,239.386055630091,0.000192419655053415,0.0121693506342179,0.841629725723244,0.997328891383931
Gm38376,3.33552417729509,9.58138260020113e-05,0.0122051681371663,0.480354319449063,NA
Gm37409,3.21800850165058,6.56693115647212e-05,0.0122048291493813,0.641385421629776,NA
Gm55160,0,NA,NA,NA,NA
Gm38223,1.17346415377457,5.86349822716266e-05,0.0122053008355096,0.48921985738735,NA
Gm37702,1.52469259018318,9.11163309747665e-06,0.0122049760887499,0.928347728430169,NA
Gm23169,0,NA,NA,NA,NA
Gm38120,8.74748011431287,0.000269625429337782,0.0122075221334215,0.253615155897817,NA
Gm38380,8.48544949388542,0.000228092012846187,0.0122062622438392,0.332955312093335,NA
Gm29570,0.718098497329924,6.06031744194903e-06,0.0122051831942156,0.932019695043165,NA
Gm7593,0,NA,NA,NA,NA
Tram1,30.7737964530589,0.000206431754772918,0.0122000733447386,0.637941158202014,NA
