gene,baseMean,log2FoldChange,lfcSE,pvalue,padj
Gm19439,215.338663618691,1.33617575732025,0.210553531714978,9.69549725244846e-12,1.14222653131095e-07
Cadps2,620.618369064912,-0.759831878259884,0.134122913701184,6.50080185462734e-10,3.82929733246824e-06
Polr3e,537.060900092024,1.19017758733237,0.216525389692206,1.63916826261411e-09,6.43701376728562e-06
B230303A05Rik,250.346958255055,1.05648632436758,0.22667988272256,1.35808180882523e-07,0.000399989044744251
Sgcz,2107.83482474435,0.488454131723421,0.113019759414734,6.45960820451664e-07,0.00152201288514821
Per1,153.553317968159,1.10978532141467,0.260779314345306,8.1521126498958e-07,0.00160066731880704
Gm29260,59.0732369493644,-0.0102602981244304,0.0314494270758642,1.31580254970083e-06,0.00180333297496529
Gm28175,129.051979789078,-0.890234196483529,0.215406494856996,1.39274394797291e-06,0.00180333297496529
Bcl2l1,994.270034323891,0.739843438122883,0.179388907580235,1.45403305309832e-06,0.00180333297496529
Mat2a,880.79358641461,0.688296713333848,0.167299945244527,1.53071299122764e-06,0.00180333297496529
Mcam,484.750776671388,-0.64285701965674,0.159008138258166,2.10933359187093e-06,0.00225909627689377
Arid5b,612.847857126683,0.816772872965354,0.207042118414119,3.06632781027122e-06,0.00301036732773377
Tubb3,118.957802335967,0.859831781755844,0.226511214949783,5.73544917588554e-06,0.00519764051854674
Tob2,136.966051244378,0.787496407916532,0.209173917256738,6.45702845324554e-06,0.00543358944340612
Cdr2,52.8585115939601,1.15891696804825,0.319188020861893,1.10671790223295e-05,0.00859374394791558
Ddr1,1156.66626074721,-0.463723678233252,0.128481658711868,1.16713269812961e-05,0.00859374394791558
Endod1,319.449054027539,0.634998512235598,0.178551399477351,1.38872048768737e-05,0.00908917559191386
Tmod2,1876.72935155389,0.616720751409807,0.172619802699113,1.31305003661503e-05,0.00908917559191386
Sdk2,129.443473240713,0.778144460258661,0.221997771162355,1.6863429580634e-05,0.0104562138889184
Shisa6,88.7179098433142,-0.879162272229576,0.254355731250734,1.96062900115619e-05,0.0115490851313105
Fam83d,76.8271038608345,1.07278158968413,0.31122022431591,2.09722810646304e-05,0.0117654496772576
Lamc1,297.906060732006,0.694641055823818,0.203304355490266,2.27496516166466e-05,0.0121824384407143
Dusp16,629.80354792162,-0.662433532010049,0.196161601811094,2.62451854979725e-05,0.0134432404500702
Hdgfl2,207.43869566477,0.832812525141306,0.249158985689536,2.89809838095684e-05,0.0142260404275219
Cntnap5a,464.712608129668,0.673979247201982,0.201780805431989,3.0506863866102e-05,0.0143760545282619
Tshz2,300.087303730441,-0.643395117147543,0.200783914931721,4.64867333215779e-05,0.0210638540485196
1700054A03Rik,99.5025131321417,0.89513523265582,0.278813298793908,4.91523747407778e-05,0.0214468195118927
Ankrd13a,251.465030989467,0.623734862999588,0.201370200579488,6.63002374794201e-05,0.0253544171735073
Sdk1,264.920496967306,0.53376990432629,0.170303931309898,6.08136874204831e-05,0.0253544171735073
4931415C17Rik,25.9933860001727,-1.42029924299182,0.456396300416562,6.67164869178104e-05,0.0253544171735073
Jade2,81.967584101231,0.923171531186093,0.296216678234099,6.37294798322719e-05,0.0253544171735073
H1f4,49.5969412962377,-1.00031794670375,0.326683329858356,7.56927692209477e-05,0.0278667660684995
ENSMUSG00000120522,4876.15149780942,-0.57510976715855,0.191092407938933,8.74851918348824e-05,0.0305594194785153
Nfkbia,45.0400821172071,1.24177926063987,0.41145983972324,8.81945728095679e-05,0.0305594194785153
Elovl6,726.293712019287,-0.428540446123917,0.142564760077205,9.08316975559939e-05,0.0305739493973476
Gpr176,56.8622999201411,-0.0126458157980368,0.0328708461819486,0.000110697962617531,0.0362259082665872
Creb5,1801.93425012143,-0.420185048721028,0.144060374515041,0.000118219947705801,0.0366512948400536
Prkcg,93.0117568623582,0.800504162448092,0.273932955381361,0.00011687328483367,0.0366512948400536
Ccnd2,49.2276400776365,1.16003878628498,0.404192363906128,0.000144136054945611,0.0415441420598169
Sgk1,662.318337750545,1.77764144980062,0.627066100537631,0.000139386690491471,0.0415441420598169
Eml1,1365.06570573968,-0.459872787658929,0.161523091605598,0.000144721114043337,0.0415441420598169
Rcan2,940.739420444925,0.585503921518773,0.206486522485628,0.000148107458323768,0.0415441420598169
Tnni1,528.498803326316,-0.534372895336405,0.18937471025827,0.000154108267962589,0.0422220815085408
Rhpn2,86.2970165472378,0.88077558436819,0.316845770437335,0.000171653406714004,0.0459601996476745
Adam2,139.695962893186,-0.801200522880026,0.288641353192122,0.000176529439937327,0.0462154073755922
Bcat1,168.556985642838,0.688440684063458,0.250673046312076,0.000187909706709661,0.047194650635107
Pllp,586.173032838417,-0.463263236915073,0.16816159721557,0.000188281858912658,0.047194650635107
Plpbp,294.87247311292,0.518053345636534,0.189994671842255,0.000202400866363815,0.0490314793567215
Gm10863,1142.9407981304,-0.454652119309335,0.166839355971477,0.00020393366339694,0.0490314793567215
