gene,baseMean,log2FoldChange,lfcSE,pvalue,padj
4933401J01Rik,0,NA,NA,NA,NA
Gm26206,0,NA,NA,NA,NA
Xkr4,115.996015947576,2.2028601981209e-07,0.00144268265057475,0.943726898000032,0.999788018342838
Gm18956,0.343066790521634,1.67895274806533e-07,0.00144269499893513,0.835035916389196,0.999788018342838
Gm37180,1.86259982612109,-1.9374327089673e-08,0.00144269421389285,0.979146825267267,0.999788018342838
Gm37363,1.63091180085787,-1.70306887250999e-07,0.00144269437127267,0.802969303113234,0.999788018342838
Gm37686,0.215718216361378,-2.56455445723596e-08,0.00144269495743758,0.902150501546026,0.999788018342838
Gm1992,5.80919541757586,3.17435122033468e-08,0.00144269271062317,0.9824616340435,0.999788018342838
Gm37329,0.467512784807979,1.89687980483113e-07,0.0014426948675564,0.686191402728403,0.999788018342838
Gm7341,0,NA,NA,NA,NA
Gm38148,2.00793151012947,-1.03824907507957e-06,0.00144269446429832,0.178239946554528,0.999788018342838
Gm19938,7.1405258257528,-6.86146535654928e-07,0.00144269232833787,0.625980386349445,0.999788018342838
Gm10568,0.105286529713139,1.04373666797513e-07,0.00144269500075239,0.862954070109754,0.999788018342838
Gm38385,0,NA,NA,NA,NA
Gm27396,0,NA,NA,NA,NA
Gm37381,0.113600193671509,-1.25919037190453e-07,0.00144269500503299,0.75407507583127,0.999788018342838
Rp1,2.13777379773131,1.95586850643278e-07,0.00144269434749679,0.776221024492384,0.999788018342838
Gm6101,0,NA,NA,NA,NA
Gm37483,0,NA,NA,NA,NA
Sox17,6.58913491074521,-1.64587401972746e-07,0.00144269296785982,0.888656010230505,0.999788018342838
Gm37587,0.844577275173591,4.37448426488205e-08,0.00144269483686725,0.816712874038249,0.999788018342838
Gm7357,0,NA,NA,NA,NA
Gm22307,0,NA,NA,NA,NA
Gm38076,0,NA,NA,NA,NA
Gm37323,0.113600193671509,-1.25919037190453e-07,0.00144269500503299,0.75407507583127,0.999788018342838
Gm7369,0,NA,NA,NA,NA
Gm6085,0.343066790521634,1.67895274806533e-07,0.00144269499893513,0.835035916389196,0.999788018342838
Gm6119,0,NA,NA,NA,NA
Gm56275,0,NA,NA,NA,NA
Gm2053,0,NA,NA,NA,NA
Gm6123,0,NA,NA,NA,NA
Mrpl15,7.11044065189005,8.28322321780781e-07,0.00144269272276928,0.538318368757222,0.999788018342838
Gm37144,0.591692851944965,3.65380004249196e-07,0.0014426949638414,0.366594780036351,0.999788018342838
ENSMUSG00000120403,1.58860043705552,4.38226775519038e-07,0.00144269438099865,0.546130405839822,0.999788018342838
Lypla1,3.97129589769576,7.26078760475698e-07,0.00144269364116207,0.494540248678026,0.999788018342838
Gm37988,1.50864881176974,3.01322696165295e-07,0.00144269461582193,0.540795253018142,0.999788018342838
Tcea1,17.9816869498581,1.33223744664492e-07,0.00144268896130015,0.950124258145169,0.999788018342838
Gm6104,0,NA,NA,NA,NA
Gm37277,0,NA,NA,NA,NA
Rgs20,15.1153949746534,-3.77092136111869e-06,0.00144269257477195,0.0483507273533605,0.999788018342838
Gm17100,0,NA,NA,NA,NA
Gm37079,0.23812939226674,-2.30419704847909e-08,0.00144269494998505,0.931461503320327,0.999788018342838
Gm16041,0,NA,NA,NA,NA
Gm17101,0,NA,NA,NA,NA
Atp6v1h,41.2900829490431,-2.8572651942257e-07,0.00144268368946619,0.919163490199799,0.999788018342838
Gm7182,0,NA,NA,NA,NA
Gm37567,0.501510484651957,-1.46496064797524e-07,0.00144269492131974,0.864448711587992,0.999788018342838
Gm38264,0,NA,NA,NA,NA
Oprk1,0.60352415438485,1.10148773382774e-07,0.00144269479208187,0.842865851192291,0.999788018342838
Gm36965,0,NA,NA,NA,NA
Gm56304,0,NA,NA,NA,NA
Gm37429,0,NA,NA,NA,NA
Npbwr1,0,NA,NA,NA,NA
Gm19214,0,NA,NA,NA,NA
4732440D04Rik,27.9976002704453,-1.47218013772782e-06,0.00144268702666666,0.55267963014887,0.999788018342838
Rb1cc1,73.2813876169484,-2.53909506425687e-06,0.00144267894851033,0.471903841496258,0.999788018342838
Alkal1,0.0828753538077769,1.01815022975685e-07,0.00144269500062303,0.894342829304334,0.999788018342838
Gm2147,0,NA,NA,NA,NA
Gm7417,0,NA,NA,NA,NA
Gm19026,0.324173253097787,6.03864195021875e-08,0.00144269492499289,0.887586129120064,0.999788018342838
St18,21.3933955401722,1.41605671631252e-08,0.00144269453992505,0.987705461327842,0.999788018342838
Gm42492,0,NA,NA,NA,NA
Gm7449,0,NA,NA,NA,NA
Gm37108,0.105286529713139,1.04373666797513e-07,0.00144269500075239,0.862954070109754,0.999788018342838
Gm37275,0,NA,NA,NA,NA
Gm37225,0,NA,NA,NA,NA
Gm37489,0,NA,NA,NA,NA
Gm5694,0,NA,NA,NA,NA
ENSMUSG00000120372,0.728710871994975,-3.60787460538482e-07,0.00144269486233373,0.421874078093768,0.999788018342838
Pcmtd1,84.2981067856748,-1.47539482935921e-06,0.00144267965044445,0.660050029858072,0.999788018342838
Gm26983,0.0828753538077769,1.01815022975685e-07,0.00144269500062303,0.894342829304334,0.999788018342838
Gm38372,4.20966597559662,-5.59512731258126e-07,0.00144269344277618,0.609592496980004,0.999788018342838
Gm9826,0,NA,NA,NA,NA
Nras-ps2,0,NA,NA,NA,NA
Gm23274,0,NA,NA,NA,NA
Gm19002,0,NA,NA,NA,NA
Gm26901,3.20674935924968,-4.91254628948777e-07,0.00144269376657825,0.616100610394109,0.999788018342838
Gm18984,0,NA,NA,NA,NA
Gm30414,0,NA,NA,NA,NA
Gm37791,0,NA,NA,NA,NA
Gm7470,0,NA,NA,NA,NA
Rps2-ps2,0,NA,NA,NA,NA
Gm38216,0,NA,NA,NA,NA
Sntg1,105.176731731454,-3.01977147298426e-06,0.00144268490356084,0.301479072690812,0.999788018342838
Gm38024,0,NA,NA,NA,NA
Gm16284,0,NA,NA,NA,NA
Gm38259,0.132842862553601,-1.25339833961196e-07,0.00144269500553964,0.733454991812844,0.999788018342838
Gm54704,0,NA,NA,NA,NA
Gm37005,0.132842862553601,-1.25339833961196e-07,0.00144269500553964,0.733454991812844,0.999788018342838
Gm15452,0,NA,NA,NA,NA
Gm36964,0,NA,NA,NA,NA
Gm54706,0,NA,NA,NA,NA
Gm6152,0,NA,NA,NA,NA
Gm7445,0,NA,NA,NA,NA
Gm7493,0,NA,NA,NA,NA
Gm37629,1.52792990386671,-3.48889689124766e-07,0.00144269446969882,0.592532876858426,0.999788018342838
Gm38008,0,NA,NA,NA,NA
Gm37143,0.105286529713139,1.04373666797513e-07,0.00144269500075239,0.862954070109754,0.999788018342838
Gm6187,0,NA,NA,NA,NA
Gm18299,0,NA,NA,NA,NA
Gm7512,0,NA,NA,NA,NA
Gm24765,0,NA,NA,NA,NA
Gm18300,0,NA,NA,NA,NA
Rrs1,1.61615676989598,2.14457287499379e-07,0.00144269432759171,0.770620875227748,0.999788018342838
Adhfe1,8.24151258107869,2.26599571637305e-08,0.00144269213914662,0.989332335047692,0.999788018342838
2610203C22Rik,5.46265399748629,9.52366722791685e-10,0.00144269384971993,0.998538230167441,0.999788018342838
Gm6161,0,NA,NA,NA,NA
Vxn,19.9553569049543,8.78567803359667e-07,0.00144268987272203,0.650360499876008,0.999788018342838
Gm29520,0,NA,NA,NA,NA
Mybl1,1.72932462780036,1.6175957445679e-07,0.00144269435585413,0.823631108592914,0.999788018342838
Vcpip1,12.3103678360466,-2.85490608366713e-08,0.00144269072718393,0.985296325479617,0.999788018342838
1700034P13Rik,4.55540300763229,-4.35418763421159e-07,0.00144269367670387,0.670855604147308,0.999788018342838
Sgk3,26.4527500978168,-2.17136710141127e-06,0.00144268803689595,0.360682786678547,0.999788018342838
Gm6195,0,NA,NA,NA,NA
Gm54812,0,NA,NA,NA,NA
Snhg6,12.0309526915823,7.64146768619351e-07,0.00144269178036564,0.62872562397107,0.999788018342838
Mcmdc2,1.91061183360317,-2.22056776985173e-07,0.00144269421654137,0.777153225508849,0.999788018342838
Snord87,0,NA,NA,NA,NA
Tcf24,0.23812939226674,-2.30419704847909e-08,0.00144269494998505,0.931461503320327,0.999788018342838
E330040D14Rik,0,NA,NA,NA,NA
Ppp1r42,1.01680777300754,-6.30919819103477e-07,0.00144269479553448,0.221312334261569,0.999788018342838
Gm15818,2.10838359115088,-1.70811455965769e-07,0.00144269429920881,0.813335949945927,0.999788018342838
ENSMUSG00000121270,0,NA,NA,NA,NA
Gm24674,0,NA,NA,NA,NA
Cops5,24.0406853620295,-1.31736678514794e-07,0.00144268819114148,0.950095354930123,0.999788018342838
Cspp1,73.4389138155776,-9.59733329408907e-07,0.00144268292919872,0.747187396860592,0.999788018342838
1700047N06Rik,0,NA,NA,NA,NA
Arfgef1,65.0431748589403,-5.17361178634758e-07,0.00144267930080984,0.876680227344369,0.999788018342838
Gm54899,0,NA,NA,NA,NA
Gm37569,3.23101555754311,-1.56830456070746e-07,0.00144269370856832,0.871309927841151,0.999788018342838
Cpa6,1.58950273457168,-4.68988780607583e-08,0.00144269440004365,0.945053057127962,0.999788018342838
Gm38005,0,NA,NA,NA,NA
Gm15604,0,NA,NA,NA,NA
Gm25253,0,NA,NA,NA,NA
Gm15603,0,NA,NA,NA,NA
Gm37133,0,NA,NA,NA,NA
Gm5522,0,NA,NA,NA,NA
Gm28659,0,NA,NA,NA,NA
Gm54912,0,NA,NA,NA,NA
Prex2,120.482450379733,3.89621546616298e-06,0.00144268346126854,0.222806790612603,0.999788018342838
Gm24173,0,NA,NA,NA,NA
Gm28686,0,NA,NA,NA,NA
Gm37410,0,NA,NA,NA,NA
A830018L16Rik,57.1168419260249,-6.00952719155839e-07,0.00144268410486618,0.828745660144168,0.999788018342838
Gm38178,0.656660170153944,-2.58022683769609e-08,0.00144269482052344,0.943611446120244,0.999788018342838
Gm29273,0,NA,NA,NA,NA
Gm38069,0.298593570169154,3.59470509346118e-08,0.00144269492746792,0.962864001173155,0.999788018342838
Gm7560,0,NA,NA,NA,NA
Gm22633,0,NA,NA,NA,NA
Mir6341,0,NA,NA,NA,NA
Gm2383,0,NA,NA,NA,NA
Gm6216,0,NA,NA,NA,NA
Gm17644,0,NA,NA,NA,NA
Gm29663,0,NA,NA,NA,NA
Sulf1,55.497926335942,-6.59479784713684e-07,0.00144268361773456,0.816781924623939,0.999788018342838
Slco5a1,0.993389946629037,9.34973426315708e-08,0.0014426946152288,0.885589563628442,0.999788018342838
Gm37162,0,NA,NA,NA,NA
Gm5250,0,NA,NA,NA,NA
Gm29283,0.105286529713139,1.04373666797513e-07,0.00144269500075239,0.862954070109754,0.999788018342838
Prdm14,0,NA,NA,NA,NA
Ncoa2,84.2724072680927,-1.17651978048136e-06,0.00144267790960605,0.739753689932245,0.999788018342838
Gm38376,2.3074721589088,-8.43326355936734e-07,0.0014426943701977,0.257134266288531,0.999788018342838
Gm37409,0.9425567914015,-3.30716100167349e-07,0.00144269488197163,0.405329751047104,0.999788018342838
Gm55160,0,NA,NA,NA,NA
Gm38223,0.629208190270458,-4.16137633036834e-08,0.00144269487754439,0.900752369923658,0.999788018342838
Gm37702,0.558785006883012,1.46461725828687e-07,0.00144269486716066,0.815309839281049,0.999788018342838
Gm23169,0,NA,NA,NA,NA
Gm38120,3.4083512357027,3.89150006730563e-07,0.00144269382311826,0.689996396515877,0.999788018342838
