gene,baseMean,log2FoldChange,lfcSE,pvalue,padj
Clic4,83.432315403082,1.54278308448247,0.392660597194533,4.17403823201388e-06,0.0191296172173196
Slc2a1,50.0576355827718,1.6291701745417,0.4593667285205,1.39335548124011e-05,0.0265234081144168
Zic4,109.760594694871,-0.963486070851018,0.284027298381336,2.31493852187797e-05,0.0265234081144168
Epha6,16.56457614975,2.4938784601762,0.692885425958201,2.1476945591505e-05,0.0265234081144168
Grm7,189.02276754906,1.12356135806633,0.367585550416201,6.91325370219837e-05,0.0493173180985946
Rbpms,109.279040244879,1.01855322152865,0.334083981436088,7.2654042239266e-05,0.0493173180985946
Icam1,18.0969334536735,2.61907416069588,0.851020728939341,8.31701906696589e-05,0.0493173180985946
Dcn,74.5914423420282,-1.02884060668574e-05,0.00144270415470357,0.000124283590763016,0.0493173180985946
Nfkbia,19.299648254408,1.74426751370212,0.586143899584262,0.00011968337321999,0.0493173180985946
Hs6st3,84.1335184950769,1.49254952724112,0.520916406762242,0.000106265064183924,0.0493173180985946
Itgbl1,137.299493543998,-0.990922888151338,0.340883671518083,0.000129131096919733,0.0493173180985946
Adamts12,54.8155575266848,-1.07173000757061,0.365308253764272,0.000112300190995909,0.0493173180985946
Fbn2,26.8248598341553,-6.92735344100378e-06,0.0014426993753836,0.000141314317663833,0.0498187321425651
