gene,baseMean,log2FoldChange,lfcSE,pvalue,padj
Rgs2,107.359305923702,1.59744356691028,0.333288147029634,7.29092451130454e-08,0.000184715572493901
Slc12a1,924.730638664358,-0.890951045927621,0.184838833958386,6.55379666225983e-08,0.000184715572493901
Fign,191.968692261338,-0.98509710296343,0.215422549981393,2.11856424572969e-07,0.000214695300662247
Gclc,867.212834004026,1.03917084484145,0.225691635559802,1.84553893878677e-07,0.000214695300662247
4930469K13Rik,381.29331278039,0.831861633865169,0.17900273872321,1.59072556051731e-07,0.000214695300662247
Kng2,323.779613841906,-0.849683236619635,0.203711857586688,1.33283112660649e-06,0.00112557588641918
Sgcd,685.382631663377,0.850830953123825,0.207132137601858,1.77801702495348e-06,0.00128703032363419
Usp33,228.911335716821,0.849358780086009,0.223020944841645,6.02877630298627e-06,0.00381847619090393
Zeb2,236.254116900361,-0.974356551000798,0.269006907342678,1.14351479389512e-05,0.00643798828962954
Nadk,259.794050646836,0.781375416884033,0.218207139101966,1.46973481596893e-05,0.00673365328488716
Chl1,166.628177700573,0.942203668486938,0.264494629140809,1.48326019204887e-05,0.00673365328488716
Zfp521,96.9818831432867,-1.12579623935034,0.31892252661323,1.59470770512425e-05,0.00673365328488716
Plcd3,141.754392999513,1.1051121897726,0.315048967640392,1.7355807907573e-05,0.00676475989751328
Zfp981,69.7947776271165,1.2108918820186,0.353028888071622,2.40485548464856e-05,0.00845281098045998
Dmxl1,4517.68558490237,0.730290790022917,0.212373957229161,2.50231230919478e-05,0.00845281098045998
Slc26a4,8918.530631538,0.729456525223887,0.214417880422345,2.80930989275036e-05,0.00889673326660378
Hsd17b12,162.235590642638,0.911244884191253,0.270394236358051,3.00129639988711e-05,0.00894562874013412
Fbln5,84.4486048309373,-0.964854830634063,0.28820956860132,3.2019204103566e-05,0.00901340595515384
Tbpl1,49.712977559432,1.26884844959623,0.387523064418227,4.11267284142049e-05,0.010611706580966
Hs3st5,122.290662683364,1.26446243739318,0.389147184116962,4.1885559822246e-05,0.010611706580966
Hivep2,458.395064299558,0.827379857372695,0.269156221543366,8.17866382467413e-05,0.0197339474283923
Fnip2,268.584895857416,-0.828962421087836,0.276561516216457,0.000100733149222607,0.0232006757777704
Sec23b,139.969621196482,0.788915770946895,0.270300140601424,0.000132453401885413,0.0290414648688531
Thsd7a,939.112551569002,0.607257517764986,0.208666054066357,0.000151517406171702,0.0290414648688531
Dennd5a,204.882013732061,0.67522187664537,0.231792546938516,0.000144031730776231,0.0290414648688531
Rorb,326.470986370984,0.562198283518287,0.190490674567243,0.000139751910917985,0.0290414648688531
Sorbs1,83.4204976166339,0.891136211379043,0.310911432075707,0.000154750256850016,0.0290414648688531
Dusp10,49.6156814609082,1.37834856317819,0.497803682694036,0.000184840840074878,0.0326765795219393
Slc16a7,1055.90235680038,-0.677518402709825,0.24090016107513,0.00018701811844015,0.0326765795219393
Foxo1,293.903338752787,0.667728794014584,0.243225055221459,0.000232752691406752,0.0346869966870004
Dnaja1,75.922181280932,0.835517832549347,0.30477229362608,0.000220255938404049,0.0346869966870004
Dusp16,164.688680215604,0.835300202809588,0.306196867340522,0.000228201431438352,0.0346869966870004
Nrp1,96.793359590529,-0.870964864239993,0.317675833552756,0.000213611220030521,0.0346869966870004
Fgf9,63.0717375886533,-1.08204224152405,0.399901819106159,0.000230868355777402,0.0346869966870004
Coq10b,52.1674974189627,1.05598870509783,0.39468851002616,0.000249178350416043,0.035071852821058
Hsph1,50.3938329635825,1.1242391998521,0.421241499322579,0.000249069402764745,0.035071852821058
Tenm2,66.0296490103913,-0.96871603088149,0.376167619410482,0.000327997357195879,0.04491790834896
Tmem52b,133.880319026523,-0.659001981188067,0.257120053225691,0.000380481340211452,0.0470219256305226
Tacc2,1369.47930295867,0.568656214330763,0.218014818388571,0.00036850398721202,0.0470219256305226
Kcnip1,161.171502129937,0.598694446748929,0.229717699336281,0.0003596471012363,0.0470219256305226
Azin1,127.91565833269,0.681629533493411,0.265786955427747,0.000375629121960112,0.0470219256305226
Col14a1,66.39273070687,-0.884843860272477,0.351675136036327,0.000393531734277534,0.0474767927996254
Gnb1,410.400885759285,0.504835124880542,0.19541652955343,0.000422020859744489,0.0497297603796587
Abca1,104.349014742273,-0.886095691958738,0.358981190080128,0.000433680322490323,0.0499422316831469
