gene,baseMean,log2FoldChange,lfcSE,pvalue,padj
Xkr4,11.9811986984183,0.00420194938661638,0.115834729304518,0.8275582350663,NA
Gm37180,0.191093407252518,0.00180075580170249,0.117307084950684,0.8039796015373,NA
Gm37363,0.316166000232073,0.00214883271914503,0.117318853853298,0.650560649460633,NA
Gm37686,0,NA,NA,NA,NA
Gm1992,0.171849578836742,-0.00180645020514623,0.11730779465083,0.823376398812332,NA
Gm37329,0,NA,NA,NA,NA
Gm38148,0.138399740313637,-0.00171550974779158,0.117305235057067,0.823376398812332,NA
Gm19938,0.591327065540087,0.000228909136884423,0.117215789961342,0.959629547121216,NA
Gm37381,0.315346792572443,0.00253335434425048,0.117323993618793,0.620214128213984,NA
Rp1,3.58816813969417,-0.00746223657889336,0.117059297373447,0.527738769917755,NA
Gm6101,0,NA,NA,NA,NA
Gm37483,0,NA,NA,NA,NA
Sox17,2.50261401276551,-0.00099584135021374,0.116813421782164,0.924934742680454,NA
Gm37587,0,NA,NA,NA,NA
Gm7357,0,NA,NA,NA,NA
Gm22307,0,NA,NA,NA,NA
Gm37323,1.51773615464999,0.00223885836532949,0.117058082147384,0.783581364658159,NA
Gm7369,0,NA,NA,NA,NA
Gm6085,4.99553016588775,-0.00620604420662535,0.116775826343606,0.640212834553531,NA
Gm6119,2.47979750063895,0.00271365131881537,0.116867079642732,0.800380740190449,NA
Gm2053,0.688774893958853,-0.00269574306710756,0.117249549601034,0.576789636310366,NA
Mrpl15,90.4065081170568,0.0197519132602436,0.109274525125638,0.652507898222851,0.903865539073418
Gm37144,4.3846754167359,0.0156187230813272,0.118099770579545,0.242140050259279,NA
ENSMUSG00000120403,4.57286840313044,-0.0143699709228777,0.117786945982309,0.301578036651862,NA
Lypla1,212.375768274954,-0.00511221600721127,0.102756814207092,0.916863087819443,0.979235481626709
Gm37988,36.9843260493809,-0.0329676352158039,0.118194930092394,0.337223414211277,NA
Tcea1,131.31807526552,0.0161410411408752,0.10614320136277,0.734055736387854,0.933931221706614
Gm6104,0,NA,NA,NA,NA
Gm37277,0,NA,NA,NA,NA
Rgs20,2.31330923123104,-0.000734721179400994,0.116966851035977,0.934633998212561,NA
Atp6v1h,613.127802424644,0.0827870299076246,0.129841282189216,0.168373699706252,0.594492542974622
Gm37567,0.662884784621739,0.0050057063930832,0.117421884929719,0.299989477865789,NA
4732440D04Rik,735.26916799288,-0.0166238150948959,0.0989789173134832,0.757749869716639,0.942950323179808
Rb1cc1,728.008812949596,0.0169514626676043,0.0933159476648699,0.760112583216597,0.943060877893034
Alkal1,0.448649059464016,-0.0035420008253984,0.117355211296859,0.475232795562506,NA
Gm19026,0.467513111606786,-0.00137432865757745,0.117238042988438,0.790228614055403,NA
St18,2.86025734383895,-0.00429278630237153,0.116880984829027,0.700661597491483,NA
Gm37108,0.645279371525222,0.00270980593585583,0.117253486510444,0.581396016063314,NA
ENSMUSG00000120372,1.37760944303132,-0.00610745736066042,0.117341987821589,0.387662339230824,NA
Pcmtd1,690.196683897639,-0.0266602910798526,0.094825132394192,0.637128603150516,0.897203131152009
Gm26983,0.888099026957602,-0.00143490490178982,0.117185377099726,0.799038975399383,NA
Gm38372,40.8002660660329,0.0129304117956009,0.111848907603396,0.722114251275449,NA
Gm26901,23.059496976612,-0.0189360459778186,0.115806736402607,0.501487948391314,NA
Gm18984,0,NA,NA,NA,NA
Gm30414,0,NA,NA,NA,NA
Sntg1,11.0785257555934,-0.00892156933616886,0.115921455592269,0.663724606599999,NA
Gm38259,0,NA,NA,NA,NA
Gm37629,0,NA,NA,NA,NA
Gm18300,0.632568198422799,6.86846117755581e-06,0.117196530119275,0.99757032711718,NA
Rrs1,14.0396369034135,0.0116872962951151,0.115598116910256,0.625307811744771,NA
Adhfe1,156.243304258619,0.0335656140138855,0.10799309923425,0.50914570301624,0.847287367401438
2610203C22Rik,13.7990103614577,-0.0199544502370969,0.117330826979793,0.392398844215444,NA
Gm6161,0,NA,NA,NA,NA
Vxn,1.54723553248869,0.00071634140573421,0.117013116121831,0.93275720860959,NA
Mybl1,12.8708974577844,-0.00479071703624072,0.115441360325795,0.819685707721449,NA
Vcpip1,164.011382948001,0.0679650129404163,0.124260112930917,0.215263289510213,0.646518179351925
1700034P13Rik,8.24922355980019,-0.00247653498039755,0.116039314630854,0.883945753544425,NA
Sgk3,86.5978945914152,-0.0463052042020308,0.118557149361833,0.306701495868757,0.738005611254786
Snhg6,42.1296976709596,-0.0136688017891196,0.112660351537897,0.691092891767857,NA
Mcmdc2,8.61918233217235,-0.0094427736782268,0.116415091102107,0.603239419909414,NA
Tcf24,6.95413808281783,0.00282414323252017,0.116071741358889,0.871222665806907,NA
E330040D14Rik,0.66173977118347,-0.0058316031460464,0.11746387498165,0.270581762088935,NA
Ppp1r42,8.8117691462569,0.0158025164752108,0.117399739322034,0.392567982379684,NA
Gm15818,2.86764147764509,-0.0053190274233631,0.117007099523285,0.61605341623782,NA
Cops5,137.763221647397,0.0296371324572493,0.106700610287035,0.559433071550519,0.867597818834369
Cspp1,839.216982320995,0.0577696669871361,0.103211567340177,0.347131119527276,0.763319174534979
1700047N06Rik,0.171849578836742,-0.00180645020514623,0.11730779465083,0.823376398812332,NA
Arfgef1,1553.96369837159,0.0849163405855905,0.119897034340014,0.185505872644916,0.614012570088298
Gm54899,0,NA,NA,NA,NA
Gm37569,48.1395430793591,0.0341469669994119,0.117466192011771,0.359914112428315,0.773529992606526
Cpa6,3.99580668398391,-0.00561820052451957,0.116726083779231,0.67406669075342,NA
Prex2,149.304768536742,-0.879361652512519,0.277375874437923,6.0678894040198e-05,0.0152028210886169
A830018L16Rik,4.79295963766455,-0.00575864510077236,0.116783121474403,0.656415898798323,NA
Gm38178,0,NA,NA,NA,NA
Gm38069,0,NA,NA,NA,NA
Gm22633,0.47342979268848,0.00371641325062397,0.117360866804735,0.442357615360193,NA
Sulf1,3.75187091598541,-0.00157940869093558,0.116734465157208,0.890182924854513,NA
Slco5a1,0.679108986321334,0.00291107828160647,0.11725866778139,0.556291269722694,NA
Gm29283,0.138399740313637,-0.00171550974779158,0.117305235057067,0.823376398812332,NA
Prdm14,0.310249319150379,-0.00251725117473865,0.117324806290134,0.637864387434188,NA
Ncoa2,1231.50972814372,0.0614443737175252,0.106593736236058,0.314570532178702,0.741516216056032
Gm38376,13.6552265995291,0.0165900518271777,0.116563431559448,0.480746360743921,NA
Gm37409,11.9078740588283,0.00823199481462506,0.115666729725359,0.703815384156665,NA
Gm38223,6.17596291125697,0.0173502368371848,0.11814121388288,0.273313954288436,NA
Gm37702,8.81615440554289,0.0159718554931424,0.117216779002241,0.416719948865274,NA
Gm23169,0,NA,NA,NA,NA
Gm38120,53.0243327706466,0.0703639420479418,0.138907775226147,0.0986835401524672,0.498752729335407
Gm38380,51.1619556155048,0.0424278849860782,0.119719655293081,0.294323696830025,0.729326070180264
Gm29570,1.58317701035558,-0.00224002030379589,0.117113315362987,0.759069868362228,NA
Tram1,130.758222246612,-0.0309753092854417,0.108650717671439,0.526677631280604,0.855009528527411
ENSMUSG00000120948,0,NA,NA,NA,NA
Lactb2,270.969065191626,-0.00210152788802062,0.101836900561496,0.960252354583544,0.987504710768298
Gm38319,8.12284035657941,0.000269183770077035,0.115865791643732,0.990037002126012,NA
Xkr9,0.88944822128902,0.00034389753894165,0.117181659694506,0.950017395040716,NA
Gm5523,0,NA,NA,NA,NA
Eya1,0.830835873969052,-0.000746491803049084,0.117175913235456,0.894968380846104,NA
Gm9947,0.157263792456407,0.00171615330042796,0.117304629942069,0.8039796015373,NA
Trpa1,0,NA,NA,NA,NA
Kcnb2,8.33584939469664,0.0146783112102508,0.117697733824965,0.334243842680457,NA
Gm38116,0,NA,NA,NA,NA
Gm37138,0.448649059464016,-0.0035420008253984,0.117355211296859,0.475232795562506,NA
Terf1,239.708410631154,-0.0443849426148847,0.110447172575073,0.400691800799526,0.789641584873658
Gm37509,8.97327093436508,-0.00787400745803243,0.116003477150871,0.685969952090297,NA
Sbspon,136.416230115954,0.020471668008006,0.110155381420202,0.632228144670865,0.895020222805936
4930444P10Rik,15.2841769705307,-0.0529733494942729,0.13252435854868,0.0423128886864636,NA
Rpl7,86.5540569859646,-0.0431546656369135,0.118440104103989,0.314944975519869,0.741516216056032
Rdh10,152.970706625463,0.00187554867380553,0.104434621588292,0.973382910276974,0.99124959197663
Gm38249,0,NA,NA,NA,NA
Gm28095,2.3347215266976,-0.00267795502568708,0.116940735344375,0.783345880273356,NA
Stau2,880.304833722882,0.00115285284379301,0.0929986816518938,0.984392403478974,0.994253162956774
Gm7568,4.89339970851903,-0.00461682992044939,0.116598813893653,0.738596807668819,NA
Ube2w,500.672904493458,0.0711535576527292,0.115113487618281,0.245647776763833,0.683196687428889
Gm38342,0.843344865477717,0.00474889894943044,0.117313890302409,0.395809279814592,NA
Eloc,102.183939854299,0.0359477416219138,0.112103828287598,0.447359664009259,0.817206765523404
D030040B21Rik,0.191093407252518,0.00180075580170249,0.117307084950684,0.8039796015373,NA
Idi1-ps5,0,NA,NA,NA,NA
Tmem70,58.568309360649,-0.0136899107721775,0.110152806626501,0.731682974320083,0.932853482140084
Ly96,31.2000093467649,-0.0529580451079728,0.128868169559093,0.131762256725856,NA
Gm28376,3.51414721738341,-0.00131126098357281,0.116639946882252,0.914899644436452,NA
Jph1,5.87030962506087,-0.0267833731030205,0.12087840026085,0.0850535977747039,NA
Rbm6-ps1,0.157263792456407,0.00171615330042796,0.117304629942069,0.8039796015373,NA
Pi15,5.9095862180183,-0.0234204379173467,0.119888333602988,0.11165008806456,NA
Gm28154,0.310249319150379,-0.00251725117473865,0.117324806290134,0.637864387434188,NA
Gm16070,1.5984044097163,-0.00840075220453318,0.117520323844616,0.276391478458482,NA
Crispld1,3.82993438880766,-0.0151059208036966,0.118039434894076,0.246835309718753,NA
Gm28153,2.02971420674882,-0.00308551766287829,0.117008914947136,0.736268695012568,NA
Gm28756,0,NA,NA,NA,NA
Crisp4,0.179640873196349,-0.00182461107910632,0.117308342520481,0.823376398812332,NA
Defb44-ps,0.158083000116037,0.00171842224384865,0.117304692749347,0.8039796015373,NA
Gm15825,0.329113371293149,-9.52143985957564e-05,0.117254881106166,0.988944960881781,NA
Tfap2d,2.15464227394884,0.00700893876343189,0.117255896679914,0.450309398071468,NA
Gm10075,0.191093407252518,0.00180075580170249,0.117307084950684,0.8039796015373,NA
Tfap2b,669.263150412152,0.190880561670584,0.181002513123369,0.0326426432268158,0.33591852884373
Gm28340,0.157263792456407,0.00171615330042796,0.117304629942069,0.8039796015373,NA
Gm4849,0,NA,NA,NA,NA
Gm38382,0,NA,NA,NA,NA
Pkhd1,12932.8659266539,0.0851352539295075,0.106944707364455,0.251962900335673,0.688443245200049
Gm37315,36.4098483623623,0.0206218738729877,0.114440846565025,0.540896198907731,NA
4930486I03Rik,153.29422805131,-0.0213525657214554,0.110608271022644,0.609257854181489,0.887686860794725
Gm15795,21.6331783830003,0.00839556592809288,0.114196579944804,0.7639899271709,NA
Gm24162,0.138399740313637,-0.00171550974779158,0.117305235057067,0.823376398812332,NA
Lincmd1,0,NA,NA,NA,NA
Il17f,0.45374653288608,0.00155345887997888,0.117243388576531,0.770888424651925,NA
Mcm3,3.68186674155711,0.000600996911991845,0.116577328953162,0.964761323325482,NA
6720483E21Rik,0.158083000116037,0.00171842224384865,0.117304692749347,0.8039796015373,NA
Paqr8,8.20225102443367,-0.00237800534318295,0.115787713381508,0.897725747931884,NA
Efhc1,3.58262565463526,-0.000718120646999008,0.11674794484938,0.947901586463623,NA
Tram2,36.4428984690197,-0.0262351595537015,0.116329617809293,0.423341603949486,NA
Gm28287,0,NA,NA,NA,NA
Gm2693,6.4667224815056,-0.00525454201274357,0.116743670742243,0.684260764925342,NA
Tmem14a,13.3851849217627,-0.0186065828462444,0.117173259930637,0.410399021512986,NA
Gm38224,2.20882509327338,-0.00681771121621599,0.117230801819631,0.464262987809841,NA
Gsta3,105.247379486381,-0.162831505850347,0.348404872173447,0.00868663210634229,0.196770066452707
Gm28836,3.40863889280641,-0.0109444560694391,0.117513782695411,0.335906454362255,NA
Gm4956,2.60613336544979,0.00590242682645411,0.117086551051664,0.564144094191116,NA
Khdc1b,0.138399740313637,-0.00171550974779158,0.117305235057067,0.823376398812332,NA
Kcnq5,18.04052240944,0.03594995479655,0.123750096063766,0.0816215980670053,NA
Gm7658,1.35614012593678,0.00707577949729493,0.117390226474358,0.352074522949624,NA
Gm38243,0,NA,NA,NA,NA
Rims1,2.48413078872996,0.00361633276981741,0.117041044083323,0.691204799101088,NA
Gm29506,1.79799669267946,-0.001809970153916,0.117039836141134,0.82621011393961,NA
Gm6420,0.351490452033091,-0.00278170864257496,0.117331063619761,0.591886775690572,NA
Gm27028,9.80408159278184,-0.00109260754670557,0.115571135789293,0.954250750884194,NA
Gm29107,121.624780712584,0.0789239923080408,0.13799806096671,0.131994579410343,0.548867547525277
Ogfrl1,19.140328162408,-0.0493101023328057,0.129212742483491,0.0810141844882854,NA
Gm28822,0.191093407252518,0.00180075580170249,0.117307084950684,0.8039796015373,NA
B3gat2,22.6320874539099,0.00540438929221558,0.114100238446301,0.843886615018074,NA
Smap1,354.257048942052,0.0993589816263976,0.132075548157383,0.136191467492393,0.555242136699755
Sdhaf4,40.4463566173485,-0.116132206027317,0.201016940876688,0.0202358200603951,NA
Fam135a,310.667676185701,-0.0269401558913143,0.101296826499079,0.61962119181226,0.891368530981806
Gm37580,0,NA,NA,NA,NA
Col9a1,0.138399740313637,-0.00171550974779158,0.117305235057067,0.823376398812332,NA
Col19a1,2.13774139106976,0.00727571579960459,0.117340032064908,0.39972154877016,NA
Gm28437,0,NA,NA,NA,NA
Gm10925,0,NA,NA,NA,NA
Gm28661,0,NA,NA,NA,NA
Gm29216,0.528817280564904,0.00151951667126778,0.117234434685023,0.731322102198985,NA
Lmbrd1,372.073798817517,0.110056160061445,0.153144416828503,0.0922044565140399,0.488108836330303
Gm9443,0,NA,NA,NA,NA
Adgrb3,3.9598055510034,-0.000576955790766578,0.1167112029299,0.959011399156035,NA
Gm20172,0,NA,NA,NA,NA
Gm22260,0,NA,NA,NA,NA
Gm37543,0,NA,NA,NA,NA
Gm37331,0.171849578836742,-0.00180645020514623,0.11730779465083,0.823376398812332,NA
Gm37211,0,NA,NA,NA,NA
Gm37862,0,NA,NA,NA,NA
Gm38286,0.158083000116037,0.00171842224384865,0.117304692749347,0.8039796015373,NA
Gm37880,0,NA,NA,NA,NA
Gm37011,0,NA,NA,NA,NA
Gm29214,0,NA,NA,NA,NA
Gm37051,0,NA,NA,NA,NA
Gm38260,0,NA,NA,NA,NA
Gm37628,0.179640873196349,-0.00182461107910632,0.117308342520481,0.823376398812332,NA
8030445P17Rik,0,NA,NA,NA,NA
Gm38198,0.158083000116037,0.00171842224384865,0.117304692749347,0.8039796015373,NA
Gm37077,0.138399740313637,-0.00171550974779158,0.117305235057067,0.823376398812332,NA
Gm37895,0.276799480627273,-0.00212608129584154,0.117318421268997,0.691568697983905,NA
Gm36952,0.138399740313637,-0.00171550974779158,0.117305235057067,0.823376398812332,NA
Gm37602,0,NA,NA,NA,NA
2900022M07Rik,0.191093407252518,0.00180075580170249,0.117307084950684,0.8039796015373,NA
2900002M20Rik,0,NA,NA,NA,NA
Gm5524,3.00697836518398,-0.00344783346197237,0.116812494161582,0.763970134046447,NA
Gm18776,0,NA,NA,NA,NA
Gm7846,0,NA,NA,NA,NA
Phf3,535.809432162046,0.107892136524715,0.132523466058086,0.118908765704033,0.533733808274127
Gm37522,19.2294046098602,0.0178166271068826,0.115806913066085,0.517855282153519,NA
Gm37906,31.0539196831275,0.0710638758065231,0.143672843913305,0.0531838483237302,NA
Ptp4a1,9.56206217765409,0.0188809682840827,0.118323245936671,0.267786289386703,NA
Ptp4a1.1,1.28815509056592,-0.00582299381422756,0.11731524141006,0.416519468029264,NA
4931428L18Rik,1.59011508069067,0.000457700260609895,0.117016891756822,0.957299919423588,NA
Lgsn,0,NA,NA,NA,NA
Gm19680,0,NA,NA,NA,NA
Khdrbs2,8.48071157305507,-0.00808461723103564,0.11645919886264,0.631041984604483,NA
Gm37999,0,NA,NA,NA,NA
Gm37911,0.191093407252518,0.00180075580170249,0.117307084950684,0.8039796015373,NA
Gm37792,0,NA,NA,NA,NA
Semp2l1,0.712119393457815,0.0031045897520529,0.117264206483415,0.532899487510733,NA
Gm37724,2.91040740023907,0.0067558457502023,0.117033566480132,0.558342222106847,NA
Prim2,151.967465710696,-0.00747785922949769,0.104042312616724,0.876068172666793,0.972778525273325
Gm29228,0,NA,NA,NA,NA
Gm37618,3.85043485697029,-0.00414853041501229,0.116662103699783,0.7514785561219,NA
1700001G17Rik,1.08801174990754,-0.0063563674805735,0.117429720064346,0.283702075496808,NA
Gm38173,0.520586554818674,0.00170665802152346,0.117254820715962,0.726006535889354,NA
ENSMUSG00000121274,0.997647634497347,-0.00700711110492526,0.117560711035391,0.162084265301752,NA
Rab23,56.9550443431942,-0.0276351164167573,0.113645903192878,0.48614929486528,0.837570439384027
Bag2,95.346085087889,0.0938259446860891,0.151002165443249,0.0932560156392742,0.489619211351327
Zfp451,243.866416588737,0.0702118221812655,0.11986044211019,0.231092494808204,0.666108138360867
Gm15455,0,NA,NA,NA,NA
Bend6,1.9542030802182,0.0126991019564805,0.118052029714342,0.142874238371618,NA
Gm37067,0.179640873196349,-0.00182461107910632,0.117308342520481,0.823376398812332,NA
Dst,1125.27838767471,0.0262018397131686,0.0976637552259416,0.643914608649834,0.899723847921775
Gm37354,0.296482740429673,0.000105840883700446,0.117258622663421,0.989364046990972,NA
Gm38157,6.46807167583702,-0.00487395017355726,0.116537959427756,0.734833490868712,NA
Gm26788,6.62457896688102,-0.00538502543080953,0.116253588333276,0.746989426399001,NA
A930005N03Rik,0.157263792456407,0.00171615330042796,0.117304629942069,0.8039796015373,NA
Gm3052,2.18534063572018,0.0057661719362852,0.117143526080438,0.543847619287496,NA
Gm37233,3.36400372272637,0.00684771613664746,0.11695359883686,0.578555765487387,NA
Ccdc115,16.8656291996685,-0.006360246423142,0.114623648715699,0.801073773798887,NA
Gm28306,0.655764486822371,-0.00287206648186368,0.117260586712468,0.582416749387427,NA
Imp4,34.4718715875122,0.0202471145918918,0.114705042665486,0.531809509825566,NA
Ptpn18,343.814192708673,-0.0395972604511569,0.102640369913922,0.484560793448275,0.836860846950806
Gm28417,15.8983998441615,-0.0280608910349782,0.119540703300766,0.250348007700715,NA
4930568A12Rik,0,NA,NA,NA,NA
Cfc1,0,NA,NA,NA,NA
Prss40,0.318040613509986,-0.00256726938039158,0.117325902182728,0.629089709584082,NA
Arhgef4,331.11459876594,-0.171979526811689,0.180260981579372,0.0416266763775356,0.364082272479107
Gm37224,0.801723956321999,0.00394972209114913,0.117293704788535,0.448106257831051,NA
Gm38336,4.26086346210199,0.00668100649450248,0.116764296076402,0.630562084937039,NA
Fam168b,184.389357985998,0.0944199619937987,0.139977157932407,0.125653954404256,0.54210672579541
Gm37127,7.4155570230327,0.0148369910374877,0.117449066140909,0.382092552608923,NA
Plekhb2,159.990686666549,0.102432016087011,0.151278930828686,0.097366059567614,0.498752729335407
Gm37068,0.157263792456407,0.00171615330042796,0.117304629942069,0.8039796015373,NA
Gm28415,0.191093407252518,0.00180075580170249,0.117307084950684,0.8039796015373,NA
Gm33222,0,NA,NA,NA,NA
Hs6st1,273.848156363476,0.0991442669905435,0.150132473612427,0.0997201963476635,0.499386180134756
Gm37335,0.191093407252518,0.00180075580170249,0.117307084950684,0.8039796015373,NA
Gm33280,0.318040613509986,-0.00256726938039158,0.117325902182728,0.629089709584082,NA
Uggt1,225.93485382519,0.011170894683369,0.10156505165971,0.82956008906171,0.960473997611291
Neurl3,38.5605236237559,-0.0188895113555808,0.11505323464228,0.537841748402826,NA
Arid5a,3.66356774428523,0.00371890973474136,0.116806493673499,0.753140637025021,NA
4930403P22Rik,4.59421851436678,-0.00183926898240988,0.116591601107731,0.88576651771769,NA
Kansl3,255.89552959515,0.0675019753439884,0.118725357197991,0.243730846779267,0.681029618509964
Fer1l5,1.86609535365831,-0.00227980157447924,0.11697488788759,0.805291364869587,NA
Lman2l,145.919130674206,0.0054327309705763,0.102661992746502,0.915994717669717,0.979235481626709
Cnnm4,79.9393018448196,0.0589043421731463,0.131025492464769,0.13548070930561,0.554631155165069
Gm37909,1.60772049378718,0.00382537853084543,0.1170928680634,0.655615155841532,NA
Cnnm3,59.3072000431272,-0.0225398299477841,0.113734526105343,0.536508542513165,0.858829163504133
Gm38033,0,NA,NA,NA,NA
Ankrd23,1.52432846507696,0.00195371656864589,0.11701796937417,0.819991828079481,NA
Gm42417,0.336904665652756,-0.000138368420900302,0.117254131830873,0.988849862616743,NA
Ankrd39,27.06857782421,-0.00296614979128291,0.1129059412646,0.920792272641641,NA
Sema4c,8.30271321814579,-5.68729037404916e-05,0.115894983924892,0.995521314525136,NA
D430040D24Rik,1.14975535025229,-0.00447824657211327,0.11724667814133,0.508100582743338,NA
Fam178b,0.68142303098587,-0.00302898610973982,0.117264997750457,0.562724642501036,NA
Cox5b,188.639198342385,-0.203021870182796,0.26914254462035,0.0251941278918164,0.304725768226022
Actr1b,93.2131230613997,0.0460904856735892,0.116641677850155,0.334485955356261,0.753139945230274
4933424G06Rik,2.26908048869765,-0.003043009770281,0.116897882964923,0.770069017934819,NA
Zap70,0.891760266654164,0.00170538908763568,0.117169323466057,0.776985578533273,NA
Tmem131,468.106008347038,0.0103264604080617,0.0979692297432727,0.851881842829747,0.967253669876971
Gm37506,0.191093407252518,0.00180075580170249,0.117307084950684,0.8039796015373,NA
Gm38115,20.8794746651776,0.0195714759789644,0.115809911528669,0.498421039492028,NA
F830112A20Rik,7.16195477827018,0.000286144243168798,0.115992405813341,0.988721089148205,NA
Vwa3b,0.875827285241803,-0.00378254230488742,0.117305293359521,0.452017393791691,NA
Cnga3,0.487196371409185,0.00135482053510875,0.117234798945962,0.765483393724212,NA
Inpp4a,138.900556957567,0.209171182866244,0.268262802363,0.0248709165939327,0.302401085880347
4930439A04Rik,0.158083000116037,0.00171842224384865,0.117304692749347,0.8039796015373,NA
Coa5,40.2365169279183,-0.0124175949177511,0.111827305254537,0.72903873588325,NA
Unc50,43.835328077227,-0.019518751654907,0.112653069463199,0.599736633921774,NA
Mgat4a,217.179014194382,0.0320429629006062,0.107596138160343,0.528322183178121,0.855329510576994
4930594C11Rik,3.86611368559392,0.00944473122903913,0.11715605707806,0.467609637739999,NA
