gene,baseMean,log2FoldChange,lfcSE,pvalue,padj
Xkr4,21.4049904953798,0.0278981926533581,0.135421818617891,0.409670603107145,NA
Gm37180,0.321653875838748,-0.00346030516371839,0.135857558619067,0.605191681270154,NA
Gm37363,0.317654081487412,0.0028259884149951,0.135840543548128,0.672887999671687,NA
Gm37686,0,NA,NA,NA,NA
Gm1992,0.158827040743706,0.00223232057495385,0.13581904075711,0.848526644928684,NA
Gm37329,0.52921474064082,0.00113621670199434,0.135718321404531,0.814983630406495,NA
Gm38148,0.158864048832823,0.00223245930598085,0.135819044953133,0.848526644928684,NA
Gm19938,1.2743702306102,-0.00995238331699372,0.13615581339207,0.206865509884964,NA
Gm37381,1.59285944683512,-0.00319249974034404,0.135501807997825,0.751392379069933,NA
Rp1,52.7783817744453,-0.0281866564104634,0.130993387167684,0.530579709685411,0.85382918541372
Gm6101,0,NA,NA,NA,NA
Gm37483,0.468657030915976,0.00163805371785041,0.13571537662614,0.815717939367065,NA
Sox17,313.331470444764,-0.119085055333581,0.144509683942182,0.133020115048336,0.530743382953328
Gm37587,18.9178287261844,-0.0168362402017275,0.132248800111749,0.632691906215895,NA
Gm7357,1.11845220414729,0.00153997005111014,0.135536321409733,0.866012680469223,NA
Gm22307,0.160274734772385,-0.00245495908560207,0.135827209741525,0.779166139194682,NA
Gm37323,1.24448092741422,0.00601500948808508,0.135758744455903,0.489991838515178,NA
Gm7369,0.521353641236561,-0.0025502735079679,0.135732619286783,0.696533739360862,NA
Gm6085,3.14927170899595,-0.00436616906950354,0.135167926991659,0.759894568837712,NA
Gm6119,1.49280269030662,-0.00706481942842218,0.135678800012681,0.511182111000791,NA
Gm2053,0.160274734772385,-0.00245495908560207,0.135827209741525,0.779166139194682,NA
Mrpl15,134.072648904655,-0.0466829646840228,0.124057300309973,0.454176622634279,0.817792545247182
Gm37144,7.64472870893779,-0.0101544996120586,0.134203188777694,0.669268772041085,NA
ENSMUSG00000120403,3.00714076648148,-0.00536883756805239,0.135397557253541,0.670134014408703,NA
Lypla1,601.050665781871,-0.18862729826871,0.171815170572219,0.0461527999359123,0.325201728900538
Gm37988,46.2114696502656,0.0101042522341155,0.125538213446331,0.837744731157305,0.958353000327852
Tcea1,256.145602895557,-0.0176467768640952,0.103956665314341,0.79253968043639,0.945124771884486
Gm6104,0,NA,NA,NA,NA
Gm37277,0,NA,NA,NA,NA
Rgs20,3.64112765913551,0.00918637788452363,0.135294799336558,0.574330270655055,NA
Atp6v1h,788.372358433891,0.0192751535817875,0.0920072059584513,0.777043940422048,0.941113506627341
Gm37567,0.321653875838748,-0.00346030516371839,0.135857558619067,0.605191681270154,NA
4732440D04Rik,366.310002397983,0.194731927785957,0.145146423700218,0.0360167363035398,0.285463448002771
Rb1cc1,1467.6091216211,0.0462458769015095,0.0877906651301497,0.498360376028916,0.840139267151051
Alkal1,0.954446946580032,0.00648111403865769,0.135874811681062,0.386514627762477,NA
Gm19026,0.477928816259798,0.00146898718245286,0.13573253469225,0.821168329394778,NA
St18,3.3272781166212,0.0016004311149704,0.13489084045927,0.92077897547925,NA
Gm37108,0.694593676058519,-0.00821187370784471,0.136103980767066,0.236413967923738,NA
ENSMUSG00000120372,4.30402689709959,-0.00650563006417611,0.134943821680155,0.704272834608571,NA
Pcmtd1,1227.42025107887,-0.0780486986582668,0.099957934832094,0.285624125554359,0.709522440123928
Gm26983,2.59393696926024,-0.00915279871861524,0.135564342460923,0.512684648766443,NA
Gm38372,66.5642931719618,-0.0615055957042327,0.137546353174953,0.286192341470369,0.709819116932622
Gm26901,15.1323271308978,-0.0227246599798434,0.134406006508913,0.480456418449686,NA
Gm18984,0.158864048832823,0.00223245930598085,0.135819044953133,0.848526644928684,NA
Gm30414,0,NA,NA,NA,NA
Sntg1,31.2108020323837,0.00932757085186825,0.129056320166853,0.823245439588709,0.954344544482994
Gm38259,0,NA,NA,NA,NA
Gm37629,0,NA,NA,NA,NA
Gm18300,1.747616233303,-0.0024805142137288,0.135366675222571,0.829517612307969,NA
Rrs1,26.9268027945193,-0.0667691186762816,0.151532571811944,0.128550533052753,0.523196067976174
Adhfe1,355.014952797863,-0.0684385141086414,0.126341943800577,0.316986573848013,0.730222109766669
2610203C22Rik,1179.49098996873,0.139402221314829,0.12892258298442,0.0927505668485314,0.449489669738614
Gm6161,0.531766840963476,-0.00246708150610575,0.135727987361662,0.694830497471423,NA
Vxn,42.408832550954,0.0266590228333781,0.129200992216859,0.577242323651165,0.8714025035492
Mybl1,23.0307605503665,-0.0085125323790103,0.130672321838374,0.815394176800353,0.953038298339807
Vcpip1,329.742382720646,-0.0203851491363757,0.104890561346549,0.761215288502688,0.938991691555885
1700034P13Rik,9.57102482602365,-0.0226997708947718,0.136096426178502,0.370154782281927,NA
Sgk3,706.709185311036,-0.0742959845658269,0.1103522262431,0.302493087506003,0.720463348508899
Snhg6,88.7079395935243,-0.0440425073562355,0.125678805309312,0.463177065686955,0.822746138410276
Mcmdc2,15.1313016159613,0.0235297423466878,0.136000538336339,0.386786532558786,NA
Tcf24,18.0155550148277,-0.0291486767522676,0.135874644389248,0.381968081513448,NA
E330040D14Rik,0.321653875838748,-0.00346030516371839,0.135857558619067,0.605191681270154,NA
Ppp1r42,2.63320402798134,0.00455823633470543,0.135298868607225,0.729867794918386,NA
Gm15818,2.8698971605855,-0.00810757793635472,0.135452450641635,0.563677678206091,NA
Cops5,273.902220140188,-0.0165069260580603,0.105332536070969,0.804684631619876,0.950345071492496
Cspp1,946.433660160588,0.0337838607022217,0.102806450859712,0.624268591847798,0.889613695677956
1700047N06Rik,0,NA,NA,NA,NA
Arfgef1,1826.65443455257,-0.0137470493203005,0.0861987090259891,0.834155545594445,0.958332473634958
Gm54899,0.371835393925793,-0.00387613780537456,0.135869688167028,0.552822898982742,NA
Gm37569,55.8888728116232,-0.00137739771317377,0.123255946604516,0.977289172387782,0.994485352578153
Cpa6,6.20595929871309,-0.0122929349947036,0.1347931000766,0.576772408361729,NA
Prex2,6543.38658360798,0.0138132847235708,0.0872436075496658,0.844094595875232,0.961372851712305
A830018L16Rik,11.4028042028245,-0.00945042010960397,0.13303912866355,0.741736481726408,NA
Gm38178,0.160274734772385,-0.00245495908560207,0.135827209741525,0.779166139194682,NA
Gm38069,0,NA,NA,NA,NA
Gm22633,0.529251748729936,0.00136286090699868,0.135700291207383,0.798967180975186,NA
Sulf1,204.401177992836,-0.0741276749626147,0.13864567610609,0.246794446574932,0.671779703139384
Slco5a1,3.33771878137918,-0.0171269372668883,0.136607791979169,0.256352044442134,NA
Gm29283,0.158827040743706,0.00223232057495385,0.13581904075711,0.848526644928684,NA
Prdm14,0,NA,NA,NA,NA
Ncoa2,2171.3146501854,0.0296839843642722,0.0861482773191806,0.661324547709562,0.904350111327737
Gm38376,24.7313807511478,-0.00575604015511652,0.130126937710869,0.876911403807994,0.970235728099127
Gm37409,11.4774295941489,-0.00108304111067305,0.132824000174545,0.9670625648588,NA
Gm38223,8.93658960817188,-0.00950761667557981,0.133805798294186,0.706973863731484,NA
Gm37702,16.7283729087959,0.0262761224940646,0.134784985727743,0.446308728005689,NA
