gene,baseMean,log2FoldChange,lfcSE,pvalue,padj
Gm38604,245.675219003631,-2.61583633185866,0.21776296384132,2.02903509355284e-34,3.1527147283624e-30
Nr2f1,340.601048986257,-2.57035087362561,0.219703715490175,5.70252390051698e-33,4.43029081831164e-29
Mctp2,441.237172760259,-1.63600985238131,0.185956774244101,7.23166004965417e-20,3.74551779505088e-16
8430419K02Rik,353.640507156906,-2.003026585115,0.254627379225783,1.70494083784428e-16,6.62284268460611e-13
Ccn2,1790.89565049419,1.84678604005519,0.236825858332791,3.2786384388634e-16,1.01886968126119e-12
Cntnap5a,127.941749133699,2.22243635213405,0.300269380498524,7.81245449289706e-15,2.02316529851057e-11
Cntn1,466.138134104582,-1.76071372531904,0.242938766877548,1.96966239385475e-14,4.37208775367358e-11
3110099E03Rik,204.594106011466,-1.63091560547051,0.229724109165417,6.2566366836325e-14,1.14212125966234e-10
Elmod1,266.048315282854,2.28683799989966,0.323765352098527,6.61545329962739e-14,1.14212125966234e-10
Lrriq1,2063.09715562111,-1.03247213046877,0.151329408266068,4.50435126242779e-13,6.9988609915603e-10
Rcan2,1058.66473093555,1.15766760037772,0.174672331066713,1.7923121353613e-12,2.53172235993127e-09
Adamtsl2,631.073525848858,2.06000711367937,0.313935828142549,2.47311433689832e-12,3.2022708805605e-09
Errfi1,9343.36876093469,1.89479164633758,0.294847965840972,4.73130771135895e-12,5.65500455531503e-09
Per1,275.8312945807,2.02686273568651,0.31576069980066,5.83118697347602e-12,6.47178451384788e-09
Cntfr,1205.29540542872,1.12987574222196,0.179894919994845,1.81096541804842e-11,1.86004761068458e-08
Cdh13,3510.71838114317,1.30745606165195,0.208698326479704,1.91535344130218e-11,1.86004761068458e-08
Aldh1a1,209.39869298419,1.62581438861789,0.261533789251768,2.49134778166203e-11,2.2770918724391e-08
Ccnd3,1738.09181732256,1.2870891447412,0.210677830976796,5.04781628204962e-11,4.35738718836039e-08
Cacng4,158.224119337575,2.27068672380239,0.389583177224207,2.57676877232023e-10,2.10725437812167e-07
Fnip2,2367.03976205971,0.960619047930092,0.164804185017855,3.09075994642427e-10,2.39105838320216e-07
Acer2,1189.10905798781,1.80777422375383,0.312202274402828,3.23157588153207e-10,2.39105838320216e-07
1600022D10Rik,122.101358677747,-1.91316881912119,0.333807407217442,4.40748298684496e-10,3.11288502952713e-07
Ptger3,403.231906218234,-1.26300354747523,0.220314355291566,4.75344949128722e-10,3.21126513894004e-07
Fibin,38.9358054632055,-2.2454580510989,0.400664956281179,1.08724421182921e-09,7.03900023475091e-07
Stim1,4647.78333316092,1.01075907308122,0.186266656187354,3.08224811643433e-09,1.91567884932626e-06
Baiap2,815.643043926182,1.29372925915237,0.24017466158321,3.44995768814662e-09,1.98538676142304e-06
Slc1a3,77.2953927841555,-1.63532871296011,0.304148979580604,3.38739538113622e-09,1.98538676142304e-06
Cyp4b1,2728.28269006424,1.00368411191092,0.186009501445948,3.60969936710052e-09,2.00312531307171e-06
Hao2,232.960933128732,-1.41806674230039,0.264856867253805,4.21249172255544e-09,2.25702401327815e-06
Klf15,272.729548874696,1.21595166149485,0.228431340808238,5.11020283211862e-09,2.56136553565997e-06
Gpc3,1721.91118683478,-1.3143021556224,0.247220362360169,4.95983993702244e-09,2.56136553565997e-06
Tsc22d3,612.948728913147,1.56173294596637,0.29453267260333,5.30673902772462e-09,2.57675346914954e-06
Olfr1033,3872.54034035385,1.46535239826286,0.277647928750465,6.13305783215634e-09,2.88774098775894e-06
Slc43a3,997.503555727473,1.24282455474741,0.242571915556693,1.45461257700778e-08,6.45764863472766e-06
Gm43387,75.7472068161176,1.83405254194106,0.359233599916666,1.4403398970923e-08,6.45764863472766e-06
Nat8f6,237.431844081856,1.45636892851507,0.287951034193303,1.90610600344543e-08,8.22696530042642e-06
Ston1,1426.61240370879,0.885775176864596,0.174142573256755,2.03427984203472e-08,8.54287572582041e-06
Mrc1,72.410020613098,2.11998898242798,0.422242823467508,2.12638892785293e-08,8.69469241078389e-06
Hmcn1,1841.40157891847,-1.09738191199301,0.219301412019847,2.72557634633362e-08,1.08589757100851e-05
Foxo3,3515.64063647422,1.2351827938047,0.247035503069454,2.80432382002669e-08,1.08933958788937e-05
1700025G04Rik,859.293686474485,0.929132529691156,0.186185854148831,3.27543583148271e-08,1.24131029145313e-05
Hipk1,2226.23220490294,1.37762495852231,0.278435143738192,3.52597433304231e-08,1.30444259968599e-05
Gm30551,61.0523759485406,-2.49237851667409,0.505200515363779,3.83037543182182e-08,1.38410170836389e-05
Rcsd1,1841.91041039304,0.797945764741526,0.160787597331487,4.15937340645162e-08,1.46882599976012e-05
Spsb1,655.484918915108,0.928181278348029,0.191180279364241,6.50870249602217e-08,2.24738265295983e-05
Gm12022,152.43357668467,-1.43686053389761,0.29881211160405,6.66962927196293e-08,2.25288477451652e-05
Alx1,714.805562060649,-0.832786910929231,0.172771945185298,7.87037232702745e-08,2.57484704839183e-05
A830082K12Rik,393.016804901881,-1.22766987067578,0.256541825304371,7.95421922530619e-08,2.57484704839183e-05
Cyp27a1,756.966791613847,1.18836084461711,0.248951947331679,8.82443124798049e-08,2.79824515777798e-05
Cyp2j13,1650.6099276156,1.23963083618998,0.261893836038962,1.04825374553271e-07,3.23046400614529e-05
Gm20186,784.707995651047,1.35429834592329,0.286441000103327,1.06032735431465e-07,3.23046400614529e-05
