gene,baseMean,log2FoldChange,lfcSE,pvalue,padj
Trdn,542.095666664426,2.28367320581725,0.235909992005281,1.91443462029533e-23,2.94478333293828e-19
Rdh16f2,933.497232450987,-2.69136562004621,0.287215013607357,3.43228663954709e-22,2.63977165447566e-18
Gsta2,2112.57803742588,-1.49471191231363,0.168007056024421,2.6683138200612e-20,1.36813343933938e-16
Ugt8a,3728.37927153811,1.88325089153262,0.228658442433199,9.06404063618873e-18,3.48557682664638e-14
Gm47842,83.1864542221308,2.43690650199613,0.336141310809583,1.94436096040118e-14,5.98163205857819e-11
Cdh6,278.777021171387,-1.81344398150275,0.256508734533868,7.3837641335449e-14,1.89295099836979e-10
Dusp1,261.284447413704,1.76220114255336,0.276246612072381,9.04863307147361e-12,1.98837248436296e-08
Slc16a6,250.145233528737,-1.60188778332091,0.253168299723096,1.09506251844766e-11,2.10553145734525e-08
5330406M23Rik,181.760011267405,1.46511863019572,0.232986784278309,1.50699184971658e-11,2.57561651470449e-08
Gsta5,45.6753488097901,-2.81064681491445,0.449562492711373,1.85595188623584e-11,2.85482519140797e-08
Lncpint,5296.81306083921,1.13250535468704,0.18341694023829,3.26368339595007e-11,4.56381618150035e-08
Il34,189.164660650427,1.97595570355491,0.32665291617007,6.32022070429474e-11,7.4782796056509e-08
Adam11,325.037278281244,1.25696216412502,0.207431386678312,6.29880860427994e-11,7.4782796056509e-08
Prom1,1699.4463882903,-1.70006062858894,0.294692805393509,3.48792292852085e-10,3.83223074903626e-07
Abca17,100.291802419469,-1.5910214871094,0.295520246054773,3.21016634210995e-09,3.29191857828901e-06
Gm16010,289.770191104096,-1.39450508139306,0.270394156441747,1.09404497335249e-08,1.05178748625675e-05
Gm22146,154.392686580659,2.66973608632142,0.523863316775173,1.55302407302487e-08,1.40521272301579e-05
Hao2,1112.4793867442,-2.02664321168851,0.406727641092224,2.54817598106881e-08,2.17755794115558e-05
Angptl4,83.7668479305377,2.49403958864903,0.50972958941601,4.67290941094591e-08,3.78308908206158e-05
Gm6300,66.989876338423,1.937258235975,0.39818696222018,5.55882629652825e-08,4.27529330465988e-05
Cyp4b1,9416.62661795331,1.38617302470054,0.287710734023307,6.10945611350643e-08,4.47503113990266e-05
Kyat1,1684.65152402687,1.18929611592209,0.248612239280133,7.72104588530123e-08,5.39841490035016e-05
Cadps2,1080.18818407354,-0.870002443780266,0.184486127477801,1.11483181507663e-07,6.85933719180352e-05
Cdr2,1019.19362891234,1.02940344781526,0.218136605821687,1.07847870573044e-07,6.85933719180352e-05
Hoxb9,141.185838978028,-2.55861105261953,0.544578492353939,1.03367360680373e-07,6.85933719180352e-05
Serpinb8,112.793634750437,1.59240176957997,0.343231254338681,1.62492771184781e-07,9.61332233217039e-05
Gm53,997.225167506818,-1.89037112135794,0.41624655939177,2.21543095612949e-07,0.000126213922100681
Gm42716,121.28563808267,-1.40692093707298,0.312797494289439,2.99032467441181e-07,0.000136549432347231
Aass,6251.84899973244,0.888492552510143,0.195768576820802,2.65223229934337e-07,0.000136549432347231
Mknk2,257.254648941785,1.25766786015777,0.279782492330644,3.01825555831873e-07,0.000136549432347231
Chst11,2148.37076252688,1.5212982948919,0.337261788821299,2.61707511059149e-07,0.000136549432347231
Igfbp4,2768.25761533902,1.00322764401416,0.222326694682149,2.83689390125675e-07,0.000136549432347231
Tob2,1176.62071300955,1.25016597103836,0.277803401962489,2.93145611069035e-07,0.000136549432347231
Ppp2r2b,167.034999027462,-2.03091300832658,0.451756362402129,2.70696532163926e-07,0.000136549432347231
Slc22a30,7437.23014374809,0.778039434399532,0.174006652373573,3.78581718893234e-07,0.000166381257143307
Foxo3,4950.71498748427,1.39715422979391,0.316922099626892,4.2919596021601e-07,0.000178429520541693
Gm20713,648.941728080938,0.863539624487856,0.194556912505032,4.27493401842064e-07,0.000178429520541693
Gm47844,31.4050450838984,2.47975496952326,0.565553610649437,4.72239420599379e-07,0.000191157546517359
Cyp2j13,9904.33227818358,1.23143721752426,0.280821449436359,4.92143070387046e-07,0.000194106274581886
Pgm5,48.0530685935091,-2.03211809874868,0.47136314517146,6.58961134553728e-07,0.000253403504292636
Alas1,1855.634450014,1.56166708510284,0.361687856477332,6.81811750904084e-07,0.000255795813473332
Wsb1,2479.92265751461,-1.42646795607657,0.334230230525385,7.92440963250366e-07,0.000290222068969455
Hsph1,918.046415811336,1.64845911047283,0.387372050433087,8.23281796788833e-07,0.000294505130190833
Usp2,1170.57200396464,1.2459707910008,0.293743042235773,9.32565519871518e-07,0.00032601642787872
Ethe1,731.495637689049,-1.40338321771834,0.332635014264848,9.85261326414024e-07,0.000336784216064456
