gene,baseMean,log2FoldChange,lfcSE,pvalue,padj
Xkr4,37.136008639228,0.0258643727544407,0.136609422987948,0.558543037225195,0.902961066214683
Gm37180,0.360645259780553,-0.00339234873178504,0.14127943259816,0.606527845912369,NA
Gm37363,0,NA,NA,NA,NA
Gm37686,0,NA,NA,NA,NA
Gm1992,1.2714334226265,0.00366754551230204,0.140976859276621,0.712090624445745,NA
Gm37329,0.194410978408758,-0.00274726871831267,0.141253326076224,0.792157283774537,NA
Gm38148,0.388821956817516,-0.00331518372440682,0.14127968030018,0.595942076226685,NA
Gm19938,1.03433448503493,0.00252891990990112,0.141057837942986,0.750172273940193,NA
Gm37381,3.32063799169663,-0.00740573863434157,0.140794831734273,0.60687172585793,NA
Rp1,9.39803698021951,0.0172003162074818,0.14069788414673,0.472776744061254,0.871205346543996
Gm6101,0,NA,NA,NA,NA
Gm37483,0,NA,NA,NA,NA
Sox17,9.40346362704625,-0.0314682006251118,0.143482791842509,0.261969648430909,0.753003140973473
Gm37587,0.81999753028084,-0.00517408248577757,0.141217052184951,0.456884486335174,NA
Gm7357,0.465407312742661,-0.00212130269071336,0.141145731061532,0.765531358769291,NA
Gm22307,0.966317903865497,-0.000794605904096968,0.140908398041445,0.935925071148825,NA
Gm37323,0.538877070784865,-0.00214813798708952,0.141135973553621,0.723943198096099,NA
Gm7369,0.166234281371795,-0.0026563386393082,0.141249843978625,0.792157283774537,NA
Gm6085,9.52068415290275,-0.00613889363773235,0.139111369808391,0.804872417703293,0.963160376800646
Gm6119,7.1666949250352,-0.00838282684167525,0.140083587051758,0.680151398348302,NA
Gm2053,0.948867197360212,-0.000823604122859269,0.140975720334497,0.926283307691914,NA
Mrpl15,662.350137556309,0.0273850869325135,0.118286477884602,0.683240339737031,0.93783834469575
Gm37144,38.7239069088418,0.0385444501911742,0.140493250826034,0.388115072118866,0.832002152446262
ENSMUSG00000120403,42.1333507470892,-0.00402928205552222,0.134811198349768,0.91872152268158,0.985802055053221
Lypla1,2949.4363058544,0.177616109893113,0.222535671753829,0.054224144958965,0.443491610588318
Gm37988,1154.76545911024,0.139349642478297,0.201688277044298,0.0843352286604103,0.527646526617151
Tcea1,1015.63625183843,0.0349961393938418,0.123207750407315,0.591429561983919,0.913728835288786
Gm6104,0.493584009779623,-0.00233614590331594,0.141148753991208,0.739619275303665,NA
Gm37277,0.695399053521777,0.00332595081144181,0.141148228753973,0.606994845539778,NA
Rgs20,25.0195250521481,-0.00451798981990622,0.136189291495622,0.899521227602886,0.982084722904467
Atp6v1h,4154.40774017497,0.108437031142411,0.157529695681669,0.161889152979716,0.660593022553887
Gm37567,1.80058351682013,0.011485138880685,0.141553777933269,0.285096276276662,NA
4732440D04Rik,2005.46809090193,0.113982048249018,0.141721115748156,0.160486569948635,0.658566360963774
Rb1cc1,5837.22647634241,0.0915199584386215,0.123420269707089,0.243678589012689,0.742183649889
Alkal1,0.322756264108708,0.0030871445729689,0.141266292400801,0.661121793646583,NA
Gm19026,3.02698094323236,-0.00658147747815768,0.140488065257069,0.689724003843691,NA
St18,20.3452011209139,-0.0161560040093593,0.137062228135999,0.664793976222985,0.933802642080652
Gm37108,3.87760369387566,-0.0185353706994151,0.141816664725302,0.318917484076582,NA
ENSMUSG00000120372,20.2567995362186,-0.0103872875314333,0.14053325124191,0.580511750439782,0.910384275116355
Pcmtd1,3532.08322180011,-0.0406704012737175,0.10738737911479,0.580305529112227,0.910384275116355
Gm26983,7.28776176769378,-0.0156188511717662,0.140213930756625,0.530558386000709,NA
Gm38372,189.638198214288,-0.026615819733569,0.119824988284428,0.684999844623816,0.938216199780841
Gm26901,329.404511523286,-0.178189065445023,0.206365006552391,0.0553432895989655,0.447727214968459
Gm18984,0.525892595770108,0.00160897015355982,0.141124362950245,0.783942403248634,NA
Gm30414,2.57822743045516,0.00220537087770029,0.140791922308787,0.851025818345263,NA
Sntg1,475.808206329562,0.0470751182079142,0.129485062091829,0.464095878531621,0.866148260398805
Gm38259,0.144524453104397,0.0023791053715415,0.14123944643755,0.83531156374602,NA
Gm37629,0.320882859638264,-0.00321231549466518,0.141273866199153,0.639993922816228,NA
Gm18300,49.543220584203,-0.0141784292795116,0.133773588690624,0.752025765178687,0.952949776117529
Rrs1,358.534345771204,-0.0633122639303661,0.133513310389369,0.346367300339117,0.811222177223451
Adhfe1,10570.3458779281,-0.0368962336221914,0.1251963978894,0.565706501442204,0.905735715646613
2610203C22Rik,802.268686864369,-0.104380211329184,0.133951132849769,0.186624515334574,0.686797111436679
Gm6161,2.53201283949967,-0.00280719613883614,0.140507525814706,0.84746434666414,NA
Vxn,0.960864726992728,0.00322112536426057,0.141034275203193,0.712811065531941,NA
Mybl1,62.2328704856448,-0.182656882806833,0.287383700278529,0.0296338812180469,0.3558513271298
Vcpip1,1586.81184657281,0.130448105597625,0.137093401668443,0.119589390828482,0.597346478871335
1700034P13Rik,292.56746196691,-0.0144917552188482,0.117164105874439,0.824293327129539,0.966351978352919
Sgk3,2838.8555275708,0.0413093707925095,0.110892215030171,0.565297635450781,0.905712520781148
Snhg6,506.882013414716,0.020142075559566,0.121399543696856,0.753574368530799,0.953279855518072
Mcmdc2,84.375574053171,0.0457649780293686,0.136920981332227,0.41084592252968,0.843666480482825
Tcf24,58.1498555211867,0.0339638284360373,0.136144658828809,0.497696883964005,0.878223298803828
E330040D14Rik,6.66762417277974,0.0150718371766593,0.14027968799755,0.53505488627646,NA
Ppp1r42,29.6668397235713,0.0362058457145244,0.14017172997531,0.404624270287214,0.841085414823007
Gm15818,31.6535417970801,0.0142102431484073,0.136988373459517,0.701988929806793,0.942082701098991
Cops5,1139.03110853272,0.0368378169129488,0.120548113716475,0.58603324597637,0.912181041110053
Cspp1,13071.9267239468,0.079139407102843,0.132107646349124,0.300699827445914,0.785776766613506
1700047N06Rik,0.686596216278951,-0.000792522062799822,0.141079016219453,0.910990032357835,NA
Arfgef1,6310.99842498971,0.0373225971682222,0.126498971163304,0.561096721565541,0.904039650013664
Gm54899,1.89474681205915,0.00808291443394105,0.140942570646027,0.552698960080485,NA
Gm37569,219.087700517227,0.0235539941282811,0.131529168321197,0.656976691239083,0.931668333838357
Cpa6,47.0124614534621,0.0535145155531557,0.143647734612712,0.302375129501718,0.787030472098336
Prex2,3354.2578439795,0.251786674866568,0.198234189787964,0.0233691019872594,0.313748611441048
A830018L16Rik,60.986967190999,0.055596360310178,0.147242219650691,0.2428995612323,0.741975624472401
Gm38178,0.154648578266469,-0.0026136298392621,0.141248297194955,0.792157283774537,NA
Gm38069,0.166234281371795,-0.0026563386393082,0.141249843978625,0.792157283774537,NA
Gm22633,0.683401523889261,-0.000464609416822459,0.141032219806635,0.953597387960577,NA
Sulf1,15.7153043552806,-0.0236791589036496,0.141410169450046,0.383092425668253,0.829055732818105
Slco5a1,6.95774152203154,0.00264833737356123,0.139137996402467,0.914774579316654,NA
Gm29283,0.798287702013441,-0.0021396841569451,0.141025373600946,0.799491025496511,NA
Prdm14,0.721702346088296,-0.00396020877132305,0.141174234890019,0.546381501201484,NA
Ncoa2,14154.4127540253,0.054178014449605,0.116811276340994,0.449655602420151,0.863241195796462
Gm38376,164.927781762975,0.0536278793585367,0.132662748180357,0.403936225451685,0.841001899344112
Gm37409,112.46558674932,0.0538954699730061,0.136806047942503,0.37322223797695,0.824097373832048
Gm38223,65.5510423310623,-0.0146164830669431,0.130773862756222,0.773585492013619,0.955433317706341
Gm37702,100.608568062335,0.0410909042264412,0.12931161772082,0.511634991088577,0.88291981176811
Gm23169,0.144524453104397,0.0023791053715415,0.14123944643755,0.83531156374602,NA
Gm38120,592.464662379627,0.0735022520247163,0.13746908937025,0.28933052682861,0.776820436479358
Gm38380,565.771192887836,0.0802326524935332,0.138949393309799,0.278233020622656,0.768645906808027
Gm29570,11.8386718037211,0.00112217122710864,0.138797228603374,0.967605406262736,0.996465913944866
Tram1,1067.96940821423,0.107009388610533,0.161621215211845,0.148146715159028,0.63891903607886
ENSMUSG00000120948,2.52791701006541,-0.0144251789086983,0.141725626581829,0.282661313056491,NA
Lactb2,26324.5026983252,0.0557180934086567,0.122902327866098,0.350744029021871,0.813105934967458
