gene,baseMean,log2FoldChange,lfcSE,pvalue,padj
Tafa2,227.366558413158,-3.0809445474599,0.227320691919844,4.67091296704089e-43,8.82849259900399e-39
ENSMUSG00000121353,8309.94912483343,-1.52420127525756,0.161867460009786,2.33651894983549e-22,2.20812723354203e-18
Gm53,959.943762205869,-2.13081754731557,0.230708184977519,1.24621179158072e-21,7.85154969088904e-18
Kng2,2101.61546016778,-1.37587233685363,0.196955476368587,1.3911695478844e-13,6.57362390614074e-10
Mme,3141.96569436126,-1.00997187935911,0.149529356688414,7.7035837861515e-13,2.91210874284099e-09
Naaladl2,3223.95255345815,1.79575024506308,0.270429186291548,1.507140932018e-12,4.74774512601204e-09
Cyp4b1,31834.9037174949,1.06913186413803,0.163906702626225,3.71581233626897e-12,1.003322413826e-08
Igfbp4,2409.25844569533,1.21424926270203,0.202785478181273,1.10202892103675e-10,2.44197902029546e-07
Gm30551,1485.36189028565,-2.77378056020328,0.466784015813842,1.16278562947247e-10,2.44197902029546e-07
Nat8f6,4091.95165043383,1.59407112451314,0.269468555511793,1.5807341528759e-10,2.98774562235075e-07
Lncpint,16647.2379285362,0.997185741883809,0.168397521029223,1.83067337828737e-10,3.14559613845542e-07
Ttc39b,123.939274414156,1.97928871662358,0.340417531495481,2.81402640506615e-10,4.43232609017961e-07
Gm37728,464.395701647676,1.17478610166487,0.20210158011327,3.07930846990251e-10,4.47707764535596e-07
Gm15441,525.64318277667,2.06938202679153,0.364406196579764,6.23662375103128e-10,8.41988753701731e-07
Gsta2,596.874060271206,-1.92361113556933,0.340509357811343,7.17053239006723e-10,9.03534884697738e-07
Synpr,80.216234853396,3.03008974167784,0.53948936012249,8.36367441249525e-10,9.8801131294108e-07
Anks1b,1096.44755567967,1.66439791461197,0.297391679246054,1.02022871358409e-09,1.13431428914428e-06
Septin8,60.1573077869949,-2.22818321812487,0.416051523521015,4.23347381803604e-09,4.44538270192774e-06
Slc5a12,2070.95308619255,1.49993258228586,0.290638260610598,1.13445475251008e-08,1.12854364616806e-05
Pik3c2g,9272.4291071615,0.837833557622241,0.166204408736945,2.59846886896899e-08,2.23243909510831e-05
Gm27007,177.088506819568,-1.47201162145351,0.294051307989645,2.52077864833479e-08,2.23243909510831e-05
Angptl4,577.069192869066,1.34484656525332,0.268068037560511,2.48995362522926e-08,2.23243909510831e-05
5330406M23Rik,526.529811536844,1.00246988320643,0.202301141619735,3.65123080107972e-08,3.00051797266121e-05
Gm15895,68.6060899517329,1.96579034707938,0.402050038193361,4.38650364245194e-08,3.36049267564759e-05
Ppp4r4,812.536554226493,-1.5409881873255,0.315292218977207,4.44486095398073e-08,3.36049267564759e-05
Cyp4a12a,331.440994043473,2.3519409260313,0.483268600713053,4.80773421625456e-08,3.49503786236259e-05
Col19a1,990.986427315109,1.44429838688813,0.297097326186904,5.36288554170293e-08,3.62013927227597e-05
Hoxb9,419.161309675956,-0.997065557994553,0.204443307214633,5.32869053529456e-08,3.62013927227597e-05
Cntnap5a,2184.10053169462,1.66331478644639,0.35318455637809,1.12247837324345e-07,6.84385926860465e-05
Pknox2,158.358703845535,-1.72946548523461,0.367767934178939,1.08424598511609e-07,6.84385926860465e-05
Slc6a19,611.54587194474,1.03233724380529,0.217997956623832,1.09570581656628e-07,6.84385926860465e-05
Myo10,3103.76191416492,1.01214529270042,0.214193091695894,1.1909044497825e-07,7.03415156416846e-05
Mn1,52.0124304071312,3.11032691051683,0.665376972309527,1.28766404068549e-07,7.37519334333226e-05
Gm37245,4800.35034593721,0.917107389694737,0.19533728521033,1.35631268621048e-07,7.53990178884243e-05
Lyplal1,491.789054042786,-1.44370792232024,0.309800954278295,1.40081900818649e-07,7.56482287820937e-05
Gpr85,41.2780372477804,-2.5080377630466,0.540112145215178,1.59586935380808e-07,8.37875740453514e-05
Coro2a,308.708330499292,1.94851224290694,0.422591385254313,1.66071001605424e-07,8.48353513876789e-05
Trp63,233.361958998451,-1.63439482289742,0.355206018484252,1.76740989366929e-07,8.79100378953771e-05
Eml5,7774.50123631325,0.833799796721614,0.181833533349682,2.44740739800384e-07,0.000118611403153002
Pitpnm2,786.587379785007,0.924405603507531,0.202803591093454,2.63514257195692e-07,0.000121480072567214
Zfp788,207.489168010067,-1.02389677870451,0.224982517147473,2.58197757741362e-07,0.000121480072567214
Etv1,1656.80277239422,1.16045578793626,0.255870535691707,2.71869946236021e-07,0.000122347948900167
Cntn5,604.019317639823,1.42084607325901,0.315520812220888,2.97512186370479e-07,0.000130773903129963
Zfp185,470.496003954694,-1.17399707126617,0.26184405606918,3.32015275699138e-07,0.000142623198317941
Dusp1,288.047813718915,1.72191020500254,0.387137077521443,3.77993351303466e-07,0.000158765607399707
Olfml1,113.606650736822,-1.23423632901699,0.277453457788432,3.94752854227058e-07,0.000162200515168383
Tnfrsf11a,246.665131836311,0.935065072305774,0.209555027384443,4.09761274910362e-07,0.000164785060788952
Ddit4l,93.6064919604852,-2.57496846045958,0.585256075512264,4.33514066793221e-07,0.000170705195342889
Gm47951,93.1778586991975,-1.37598863614147,0.313759541106024,5.20894793346771e-07,0.000200927193654027
Nat8,1913.61700414466,1.23428039896943,0.281867249433619,5.44545474599075e-07,0.000205849080307942
Abcc1,211.79999051432,-1.31233387720888,0.301545323904634,5.89733795161773e-07,0.000216786134768091
Hspa1a,43.1750170606528,3.69386611616223,0.845670049491596,5.9641706830013e-07,0.000216786134768091
Gm13412,395.987521857955,1.27496092254254,0.293089128637041,6.09023501375324e-07,0.000217191569801793
ENSMUSG00000121034,96.6841057888456,1.82152809505554,0.421394135105574,6.53551211043435e-07,0.000225269144318402
Sntb1,228.151739913458,-1.97978568428086,0.460138334131793,6.5551044587652e-07,0.000225269144318402
Plk3,266.665576345027,2.35586921177725,0.548183061659474,6.87157007923656e-07,0.000229396616683625
Catsperb,111.545885021385,1.14396893523886,0.263949390783815,6.91794463307055e-07,0.000229396616683625
Hsph1,3482.52050575288,2.08466220461423,0.485204103021024,7.64287635730554e-07,0.000249065527636952
Palmd,177.173102463373,1.30941365866798,0.305160592379319,7.86666271384377e-07,0.000249879133743563
Col27a1,3541.26976533343,0.704219026144957,0.161916497431338,8.19665959055123e-07,0.000249879133743563
Mknk2,482.251497977129,1.0931109781011,0.254155148504974,8.00012018073026e-07,0.000249879133743563
Tsc22d3,1862.56649964738,0.804390744335883,0.185885876331758,8.14051429412243e-07,0.000249879133743563
Ptpn14,188.54570215426,-1.0720458585996,0.250770755236344,8.83318326154439e-07,0.000265009518772144
Slc16a6,1097.11264308669,-1.0866509501418,0.254824025700056,9.2008744655442e-07,0.000271727700426955
Frmpd4,90.0011543067549,2.38153053198427,0.571041967111948,1.20077541656474e-06,0.000349167017669078
Il34,2710.51331744208,1.57598079890443,0.375749086120322,1.22795871178603e-06,0.000351661327446481
