gene,baseMean,log2FoldChange,lfcSE,pvalue,padj
Gsta2,939.514332090203,-1.65761442715988,0.192016199363512,2.90736268779843e-19,5.13236735277056e-15
Hao2,987.066049434306,-2.3118041750095,0.328860449125736,9.28693782955561e-14,8.19711567525726e-10
Il34,804.263531032013,1.39944588024643,0.220102603342553,9.81643467530324e-12,5.7763173774376e-08
Adam11,114.113309665886,1.55288193185882,0.264212417246106,1.96774533894026e-10,8.68415211707812e-07
5330406M23Rik,228.194452398638,1.07767748526972,0.210674281818812,1.5016526891282e-08,5.30173498423604e-05
Nat8f3,2943.42991912984,1.23585720470412,0.24781508876275,2.81773230866033e-08,5.85111896622508e-05
Nat8f6,1123.60553588214,1.40107637614519,0.278257204391803,2.15581528159551e-08,5.85111896622508e-05
Per1,244.901265281363,2.6590112750677,0.535079406349824,2.78885144032617e-08,5.85111896622508e-05
Kcnk5,7335.61019706348,1.01402093724595,0.203808041721716,3.10037873451125e-08,5.85111896622508e-05
Alk,622.150074722098,2.00676526353038,0.406456695275633,3.31451819306921e-08,5.85111896622508e-05
Plk3,218.060190973882,2.90764097317162,0.595120167729056,4.11159009564308e-08,6.09686546174016e-05
Ethe1,468.133402649483,-1.48308418679785,0.303468085923619,4.36305760944825e-08,6.09686546174016e-05
Hoxb9,229.992671252716,-1.05518621848061,0.215409862938953,4.48984597533689e-08,6.09686546174016e-05
Lncpint,6579.05070557804,0.922710580531279,0.193370302651215,9.16697342102314e-08,0.000115588987000944
Cyp2j13,9080.11087345208,1.01837629344736,0.219779653944193,1.51001274204773e-07,0.000166601593346053
Rdh16f2,730.249064924354,-1.90681785967838,0.411817648855281,1.43616941027519e-07,0.000166601593346053
Ugt8a,5408.14122800897,1.07518739207643,0.233344923632318,2.01645039871996e-07,0.00020467809308098
Cyp51,699.093948145054,-1.07734620813641,0.235262210793772,2.08701392140579e-07,0.00020467809308098
Gm37728,197.614467043282,1.05112652799736,0.230704657879639,2.39009236161979e-07,0.000222064739261443
