gene,baseMean,log2FoldChange,lfcSE,pvalue,padj
Xkr4,5.21660736522157,-0.00603643586672802,0.121587366117715,0.630316505809482,NA
Gm37180,0,NA,NA,NA,NA
Gm37363,0.095901959186912,0.00137940994626345,0.121990380147383,0.987606907368685,NA
Gm37686,0,NA,NA,NA,NA
Gm1992,0,NA,NA,NA,NA
Gm37329,0,NA,NA,NA,NA
Gm38148,0,NA,NA,NA,NA
Gm19938,0.37891076855196,-1.70642701254031e-05,0.121930099819861,0.925077847092027,NA
Gm37381,0.383607836747648,0.00262349348024317,0.122018841065162,0.651597502609681,NA
Rp1,1.23626991582701,0.000393604634354945,0.121812865244228,0.955396807219835,NA
Gm6101,0,NA,NA,NA,NA
Gm37483,0,NA,NA,NA,NA
Sox17,3.09831829836209,0.00460146322701638,0.121420813102354,0.728438228806605,NA
Gm37587,0,NA,NA,NA,NA
Gm7357,0,NA,NA,NA,NA
Gm22307,0,NA,NA,NA,NA
Gm37323,0,NA,NA,NA,NA
Gm7369,0,NA,NA,NA,NA
Gm6085,0.602495986029648,-0.0039554399021152,0.121989741482109,0.437741711692028,NA
Gm6119,0.141239050379656,-0.00210380716142047,0.122008616605377,0.654632709979304,NA
Gm2053,0,NA,NA,NA,NA
Mrpl15,16.4569665257962,0.0113037324729079,0.119825486463225,0.668473434803649,NA
Gm37144,1.06160481672995,0.000214248139984217,0.121779798466132,0.949650955051984,NA
ENSMUSG00000120403,1.31284620878679,0.000970563966586547,0.121728766440093,0.909617464034245,NA
Lypla1,48.2414785104125,-0.0291140904282146,0.118343182431138,0.480540360227175,0.995672686547511
Gm37988,16.4580829290639,0.0259803625019468,0.12263680143411,0.352980214014999,NA
Tcea1,27.2626160066258,0.00348315022282884,0.117571761288905,0.913681703587511,0.995672686547511
Gm6104,0.132911035092199,0.00153413901678544,0.121993077744842,0.987606907368685,NA
Gm37277,0,NA,NA,NA,NA
Rgs20,0.132911035092199,0.00153413901678544,0.121993077744842,0.987606907368685,NA
Atp6v1h,101.205245711273,0.0290289071622375,0.114904967486711,0.541165680694306,0.995672686547511
Gm37567,0,NA,NA,NA,NA
4732440D04Rik,63.7484954656437,-0.0142954855914874,0.115502919538825,0.719269640742878,0.995672686547511
Rb1cc1,158.004652335162,0.027196450577417,0.111156894796295,0.594701380253183,0.995672686547511
Alkal1,0,NA,NA,NA,NA
Gm19026,0.095901959186912,0.00137940994626345,0.121990380147383,0.987606907368685,NA
St18,0.383607836747648,0.00262349348024317,0.122018841065162,0.651597502609681,NA
Gm37108,0.141239050379656,-0.00210380716142047,0.122008616605377,0.654632709979304,NA
ENSMUSG00000120372,1.31808067042686,-0.00959865804612086,0.122366523473892,0.206992106342784,NA
Pcmtd1,110.843854907285,-0.0475616052012974,0.117946004849177,0.368380964845869,0.995599441145819
Gm26983,0.463815076799199,-0.00237465719274357,0.121945375736969,0.57472731058276,NA
Gm38372,5.41238640149812,-0.00915236613851867,0.121303498500972,0.58885471092312,NA
Gm26901,9.90040936844309,-0.00578195405305204,0.120214622593469,0.78516109219307,NA
Gm18984,0,NA,NA,NA,NA
Gm30414,0,NA,NA,NA,NA
Sntg1,7.87489945558854,0.0206224781024398,0.123481747830141,0.220329221114662,NA
Gm38259,0,NA,NA,NA,NA
Gm37629,0.095901959186912,0.00137940994626345,0.121990380147383,0.987606907368685,NA
Gm18300,0.372610185807975,0.000624241350513034,0.121921356962894,0.996308603958555,NA
Rrs1,7.03200962002309,-0.00656507960112935,0.12090911327247,0.71518156096718,NA
Adhfe1,128.7228237395,0.0730847926239507,0.133602488041213,0.187581696298329,0.912632703400032
2610203C22Rik,19.4759193246187,0.023254628344598,0.122479964341548,0.364739554417171,0.995599441145819
Gm6161,0,NA,NA,NA,NA
Vxn,0.231371135428319,0.00195015836268961,0.122002558255146,0.821791647172757,NA
Mybl1,3.46194438397822,0.00369109264918083,0.121359559229878,0.779838606462371,NA
Vcpip1,42.3974398275578,0.0177936333763077,0.116445955278779,0.650877812534292,0.995672686547511
1700034P13Rik,3.85668193280284,-0.00528202476265194,0.121272698204413,0.720361982819529,NA
Sgk3,94.0687482640883,0.00768147924652266,0.112081070984572,0.86605494049497,0.995672686547511
Snhg6,10.6339625354607,-0.000712651742335692,0.119759726781006,0.973422325589466,NA
Mcmdc2,1.31028806763758,0.000904268890711032,0.121761204600991,0.910387029812537,NA
Tcf24,3.0273865032419,-0.00141112716888555,0.12133623172858,0.909675526126551,NA
E330040D14Rik,0.283008809365048,-0.00091095344005853,0.121955095776349,0.797953704118248,NA
Ppp1r42,0.931254415851524,0.00549976993491668,0.12204056715472,0.436058754015317,NA
Gm15818,0.746823886164247,-0.00359900611966313,0.121916449925609,0.573641831521132,NA
Cops5,23.4724953633851,0.0392075911675118,0.126089825009021,0.241335944685213,0.951693971159767
Cspp1,236.541171589306,0.0443129930358282,0.111112170497284,0.43937522373462,0.995672686547511
1700047N06Rik,0,NA,NA,NA,NA
Arfgef1,187.233508912476,0.0126718534161324,0.105299822705874,0.818935207716421,0.995672686547511
Gm54899,0,NA,NA,NA,NA
Gm37569,5.4050470509198,-0.00221009268855296,0.120811947657949,0.895296255471203,NA
Cpa6,5.77325694107849,-0.0262551906855597,0.125960750669835,0.00737437332449574,NA
Prex2,134.171500749269,0.0149662951551379,0.115462712744112,0.710469410664079,0.995672686547511
A830018L16Rik,1.34568892510213,-0.000494486115957168,0.121665510845459,0.956458550469991,NA
Gm38178,0,NA,NA,NA,NA
Gm38069,0,NA,NA,NA,NA
Gm22633,0,NA,NA,NA,NA
Sulf1,2.97804246686609,0.000268074981980745,0.121542958706998,0.98185960450502,NA
Slco5a1,0.322576026419543,-0.0006389707044642,0.121945728776673,0.78871965827902,NA
Gm29283,0,NA,NA,NA,NA
Prdm14,0,NA,NA,NA,NA
Ncoa2,364.286238221645,0.0223772424067536,0.104748153229258,0.691799804389806,0.995672686547511
Gm38376,5.13328900735162,0.0154413664725125,0.122481235333248,0.304653827953748,NA
Gm37409,2.09465173831285,0.000250993292204019,0.121517495221202,0.982984643989807,NA
Gm38223,2.20620967463445,0.00320501107971189,0.121615720963387,0.762984659942321,NA
Gm37702,2.96540505244201,0.00406110424464326,0.121455907750458,0.75002568585867,NA
Gm23169,0.187106850178136,-0.00221837704363283,0.122012902729146,0.635225410940131,NA
Gm38120,16.7936989269133,0.00698157366331368,0.119095434977704,0.796667837449095,NA
Gm38380,15.3754130212479,0.0143765804734369,0.120230904863261,0.582254264596401,NA
Gm29570,0.141239050379656,-0.00210380716142047,0.122008616605377,0.654632709979304,NA
Tram1,44.4789673150458,-0.0299196470016999,0.121841764921453,0.378098482797735,0.995599441145819
ENSMUSG00000120948,0,NA,NA,NA,NA
Lactb2,336.726626697411,0.183787170308107,0.209590882280651,0.0386617744723975,0.511675915850335
Gm38319,16.8115054248204,0.0493076559338177,0.13372855661027,0.0715206388323271,NA
Xkr9,1.34930820122613,-0.00448617249595694,0.121907632966023,0.530835089310938,NA
Gm5523,0,NA,NA,NA,NA
Eya1,3.79337692346306,0.00252345970676051,0.121425681116856,0.837850653811004,NA
Gm9947,0,NA,NA,NA,NA
Trpa1,0.141239050379656,-0.00210380716142047,0.122008616605377,0.654632709979304,NA
Kcnb2,27.6819657215032,-0.0101836116727146,0.120045895845008,0.670308146387878,0.995672686547511
Gm38116,0.095901959186912,0.00137940994626345,0.121990380147383,0.987606907368685,NA
Gm37138,1.32170243961542,-0.00725023201553804,0.12208078350061,0.36329938837068,NA
Terf1,56.0303396408734,-0.0441936494894606,0.123175356336886,0.318490101326891,0.991421200550143
Gm37509,1.40186674589222,0.00611962327766947,0.121986629964204,0.45726923582846,NA
Sbspon,0.513849236187631,-0.000934870609600747,0.12189459394258,0.814701831416919,NA
4930444P10Rik,0.095901959186912,0.00137940994626345,0.121990380147383,0.987606907368685,NA
Rpl7,13.4651579825607,-0.0191224893043542,0.121330556500943,0.455921639105217,NA
Rdh10,26.0028127584461,-0.027903323938752,0.121506280187954,0.401248386861356,0.995672686547511
Gm38249,0.095901959186912,0.00137940994626345,0.121990380147383,0.987606907368685,NA
Gm28095,0.268380211333606,0.00221316294822789,0.122006226151035,0.773594644953526,NA
Stau2,139.210959028741,0.0211141314816953,0.111551315638622,0.666285334392654,0.995672686547511
Gm7568,1.93050150145362,-0.00351020006835742,0.121703061958253,0.718945940804168,NA
Ube2w,89.3382009627396,0.0212596283200308,0.111910364188471,0.661562897125954,0.995672686547511
Gm38342,0,NA,NA,NA,NA
Eloc,22.6902226570184,-0.00950451022007353,0.119279413174058,0.721568564247596,0.995672686547511
D030040B21Rik,0,NA,NA,NA,NA
Idi1-ps5,0.132911035092199,0.00153413901678544,0.121993077744842,0.987606907368685,NA
Tmem70,9.34556297909188,0.00480722135295775,0.120149087343578,0.827526943897712,NA
Ly96,12.1791881086176,-0.0107590073029642,0.120273366706295,0.646375911451069,NA
Gm28376,1.57534505147914,0.000451641203728169,0.121732660328611,0.958965062420298,NA
Jph1,3.83414453358667,-0.00262053165454776,0.121160729561487,0.856287155902605,NA
Rbm6-ps1,0,NA,NA,NA,NA
Pi15,1.59222605200626,-0.0137143304981824,0.12305801291329,0.0228432184815077,NA
Gm28154,0.141239050379656,-0.00210380716142047,0.122008616605377,0.654632709979304,NA
Gm16070,1.94924853917113,-0.000912885755033467,0.121599945563344,0.925945400720336,NA
Crispld1,2.33073133066795,-0.00434545514818872,0.121630738130343,0.69483892314902,NA
Gm28153,0.191803918373824,0.0018546838379666,0.121999698392188,0.864962076766809,NA
Gm28756,0,NA,NA,NA,NA
Crisp4,0.423172560737581,-0.00309675892976318,0.122036838955222,0.594390376353906,NA
Defb44-ps,0.132911035092199,0.00153413901678544,0.121993077744842,0.987606907368685,NA
Gm15825,0,NA,NA,NA,NA
Tfap2d,0.424247859744704,-0.00266447027003925,0.121963064449817,0.585762446955908,NA
Gm10075,0,NA,NA,NA,NA
Tfap2b,15.9070130797798,-0.0213398581870279,0.122315451635124,0.369288764275742,NA
Gm28340,0,NA,NA,NA,NA
Gm4849,0,NA,NA,NA,NA
Gm38382,0,NA,NA,NA,NA
Pkhd1,1103.43144851897,0.210426955726891,0.185525464478644,0.0275632861285191,0.430274896475293
Gm37315,3.22599016792178,0.0121659302878251,0.122185649646856,0.357846227688752,NA
4930486I03Rik,13.3047526803608,-0.016351611952682,0.120814208355606,0.519911138071567,NA
Gm15795,2.06539454224997,0.00769695653270959,0.121897556196366,0.481905189707809,NA
Gm24162,0,NA,NA,NA,NA
Lincmd1,0,NA,NA,NA,NA
Il17f,0,NA,NA,NA,NA
Mcm3,2.40259916670095,0.00326525003559794,0.121494174897947,0.786290327006601,NA
6720483E21Rik,0,NA,NA,NA,NA
Paqr8,4.6140773410837,-0.00427082646911045,0.121364375940047,0.751651313390897,NA
Efhc1,0.33304296875348,0.000288672754594116,0.121937285355291,0.949684536565572,NA
Tram2,16.5951338251956,-0.00993391363637825,0.119756651860985,0.694935644469154,NA
Gm28287,0,NA,NA,NA,NA
Gm2693,0.461256935649991,-0.00239093123930665,0.12194634489654,0.575423503797418,NA
Tmem14a,0.64676027127983,0.000274583756800695,0.121845383525949,0.989589144262172,NA
Gm38224,0.328345900557792,-0.00329269356129644,0.122043362018929,0.464679917452743,NA
Gsta3,17.3653527907395,0.0457316701374031,0.131159334219398,0.113550292064911,NA
Gm28836,2.7935756882427,-0.00469914400728989,0.121709180269645,0.648116008144104,NA
Gm4956,4.92877163735142,-0.000132557271822911,0.121322328717865,0.989283428440584,NA
Khdc1b,0,NA,NA,NA,NA
Kcnq5,289.083611675251,-0.000166627292229542,0.11324117184403,0.994407873454473,0.998234972390154
Gm7658,0,NA,NA,NA,NA
Gm38243,0.231371135428319,0.00195015836268961,0.122002558255146,0.821791647172757,NA
Rims1,0.852117488677973,-0.00174289055731121,0.121871405717531,0.799835114184043,NA
Gm29506,0.095901959186912,0.00137940994626345,0.121990380147383,0.987606907368685,NA
Gm6420,0,NA,NA,NA,NA
Gm27028,0.705650661496894,-0.00627960969837112,0.122190760838331,0.214569163258391,NA
Gm29107,5.83139758877487,0.00144469608552465,0.12071715565958,0.936907065788454,NA
Ogfrl1,3.09671257298591,0.0103400722074618,0.121959914641909,0.435080062689924,NA
Gm28822,0.73849587087679,-0.000433809035794771,0.121836797456724,0.912748877747762,NA
B3gat2,110.711652312095,0.0122044539000657,0.115781277949137,0.753691796943423,0.995672686547511
Smap1,95.1635021602924,0.0642330604349818,0.129614543524166,0.221009666698046,0.930414646038397
Sdhaf4,7.12375619802942,0.00480252844996241,0.120608058694304,0.802813460065695,NA
Fam135a,109.122874390862,0.0727733944728947,0.132539862303034,0.193017625635997,0.913586891993433
Gm37580,0,NA,NA,NA,NA
Col9a1,0,NA,NA,NA,NA
Col19a1,8.63107063211236,0.0485190039434528,0.135462472281617,0.0123040238667387,NA
Gm28437,0,NA,NA,NA,NA
Gm10925,0,NA,NA,NA,NA
Gm28661,0,NA,NA,NA,NA
Gm29216,0.132911035092199,0.00153413901678544,0.121993077744842,0.987606907368685,NA
Lmbrd1,66.5573347693144,0.0193328020807928,0.114892958492858,0.654465102779785,0.995672686547511
Gm9443,0,NA,NA,NA,NA
Adgrb3,4.07621948215059,0.0076576636599154,0.121640770492829,0.572762970700529,NA
Gm20172,0,NA,NA,NA,NA
Gm22260,0.095901959186912,0.00137940994626345,0.121990380147383,0.987606907368685,NA
Gm37543,0,NA,NA,NA,NA
Gm37331,0,NA,NA,NA,NA
Gm37211,0,NA,NA,NA,NA
Gm37862,0,NA,NA,NA,NA
Gm38286,0,NA,NA,NA,NA
Gm37880,0,NA,NA,NA,NA
Gm37011,0,NA,NA,NA,NA
Gm29214,0.135469176241407,0.00154329203222017,0.121993258514351,0.987606907368685,NA
Gm37051,0,NA,NA,NA,NA
Gm38260,0,NA,NA,NA,NA
Gm37628,0.141239050379656,-0.00210380716142047,0.122008616605377,0.654632709979304,NA
8030445P17Rik,0,NA,NA,NA,NA
Gm38198,0,NA,NA,NA,NA
Gm37077,0.095901959186912,0.00137940994626345,0.121990380147383,0.987606907368685,NA
Gm37895,0,NA,NA,NA,NA
Gm36952,0,NA,NA,NA,NA
Gm37602,0,NA,NA,NA,NA
2900022M07Rik,0.287705877560736,0.00211385903699613,0.122007780552834,0.754667817251654,NA
2900002M20Rik,0,NA,NA,NA,NA
Gm5524,2.06230569249503,0.00455024828188579,0.121730962878947,0.65404422614125,NA
Gm18776,0,NA,NA,NA,NA
Gm7846,0,NA,NA,NA,NA
Phf3,109.256721914316,0.0108034336058689,0.109993154308613,0.825491354595432,0.995672686547511
Gm37522,4.67017544229614,0.00922356147900928,0.121556588611426,0.545826890046528,NA
Gm37906,9.40376602159755,0.010216796099182,0.120686272425409,0.637996168274209,NA
Ptp4a1,0.793224605396349,-0.00280346682390647,0.121896909740389,0.668532629820025,NA
