gene,baseMean,log2FoldChange,lfcSE,pvalue,padj
Wee1,296.729339553088,1.86985765425444,0.294930581547466,1.13578326042848e-11,8.42069709281674e-08
Cables1,671.481189342008,1.32668293884068,0.207997762773809,8.57804631420921e-12,8.42069709281674e-08
Lama1,741.399443958731,-1.5688741989729,0.251899614876815,2.14325839479477e-11,1.05934118260056e-07
Rgs7,1637.83269286662,-1.22253771331969,0.205151222464282,1.19807510520098e-10,4.44126441498004e-07
Map1b,516.397431785436,-1.39799387131069,0.247112407051751,6.99393278216184e-10,2.07412070587792e-06
Tob2,785.932717630062,1.25321616064654,0.226248621068438,1.47038074828855e-09,3.6338009559371e-06
Spns2,180.693713941418,1.26847417332291,0.237771795207746,4.58350489033016e-09,9.11655253234775e-06
Sh3pxd2a,3070.84595202448,1.07096572589622,0.201061807490046,4.91856084831279e-09,9.11655253234775e-06
Adamtsl2,196.217578606514,1.45242651013134,0.289448704255017,2.18986555981502e-08,3.24713265209371e-05
Gm8439,95.222751363566,1.75853270126172,0.348133034079877,2.02928295081843e-08,3.24713265209371e-05
Cdr2,176.033101793631,1.42410858043283,0.310222897660855,2.00448010483789e-07,0.000270203918132147
Fermt1,1103.29413083552,-1.07966559475586,0.237638101895444,2.49049064704417e-07,0.000284069194725931
Ccn2,93.4871440464018,1.28414062831722,0.28177727835435,2.35457164568063e-07,0.000284069194725931
Gsg1l,28.6551092574164,-2.6565485086486,0.594207845165341,4.07437745855022e-07,0.000431534778252734
Wbp1l,2544.40530037478,1.04181275892372,0.240909765329405,7.01037902397369e-07,0.000692999334449879
Pamr1,325.288474183138,0.831282663769777,0.19467478858124,9.53258185712462e-07,0.000839520459709802
Scnn1a,793.191358220805,0.721612976394336,0.168300506616569,9.62493108650299e-07,0.000839520459709802
Sardh,414.338304702379,0.723098160406271,0.169517466263758,1.04781170661542e-06,0.000863163999205191
Sema3c,1687.8329738307,1.07025342648494,0.257291908824467,1.4268221960866e-06,0.00105784597617861
