"seqnames","start","end","strand","mean_count","long_name","sj_label","sj_1_2_labs"
"chr16",91444873,91448517,"+",0.935255751596606,"chr16:91444873:91448517","SJ-1","SJ-1"
"chr16",91448685,91451498,"+",0.846902489711193,"chr16:91448685:91451498","SJ-2","SJ-2"
"chr16",91457469,91458988,"+",0.00623133456631304,"chr16:91457469:91458988","SJ-3",NA
"chr16",91459150,91459379,"+",0.00040165270229055,"chr16:91459150:91459379","SJ-4",NA
"chr16",91459150,91461085,"+",0.00550252485132073,"chr16:91459150:91461085","SJ-5",NA
"chr16",91461233,91461521,"+",0.00330835558535703,"chr16:91461233:91461521","SJ-6",NA
"chr16",91461711,91461807,"+",0.000166260118027028,"chr16:91461711:91461807","SJ-7",NA
"chr16",91461711,91467351,"+",0.0011810986243806,"chr16:91461711:91467351","SJ-8",NA
"chr16",91467463,91468236,"+",0.00456652154973731,"chr16:91467463:91468236","SJ-9",NA
"chr16",91468354,91468835,"+",0.000470845017517585,"chr16:91468354:91468835","SJ-10",NA
"chr16",91468354,91471582,"+",0.000262616944678796,"chr16:91468354:91471582","SJ-11",NA
"chr16",91468354,91472288,"+",0.000537902492511791,"chr16:91468354:91472288","SJ-12",NA
"chr16",91468893,91469115,"+",2.03743238762935e-05,"chr16:91468893:91469115","SJ-13",NA
"chr16",91470667,91470872,"+",4.88011760629958e-05,"chr16:91470667:91470872","SJ-14",NA
"chr16",91470911,91471582,"+",0.000201280594710146,"chr16:91470911:91471582","SJ-15",NA
"chr16",91471030,91471582,"+",0.00551373381477472,"chr16:91471030:91471582","SJ-16",NA
"chr16",91471663,91472288,"+",0.00349311630121727,"chr16:91471663:91472288","SJ-17",NA
"chr16",91472437,91474292,"+",0.00169228635573186,"chr16:91472437:91474292","SJ-18",NA
"chr16",91474365,91474476,"+",0.00154240293989426,"chr16:91474365:91474476","SJ-19",NA
"chr16",91474593,91474988,"+",0.00129564597462525,"chr16:91474593:91474988","SJ-20",NA
"chr16",91474593,91475041,"+",0.00168078965899859,"chr16:91474593:91475041","SJ-21",NA
